sequence_number,time_taken_to_correct_s
10,4.4032e-05
46,0.000647424
75,4.7872e-05
159,0.000233728
202,0.000141056
294,0.000255232
332,0.000407552
340,0.000469504
618,0.000208896
727,6.5536e-05
747,0.000199168
811,0.000421376
835,4.864e-06
998,8.7296e-05
1015,0.000158464
1151,0.00030976
1281,0.000152832
1288,1.024e-05
1322,0.000168192
1347,5.6064e-05
1481,0.000120576
1502,9.5488e-05
1569,7.8592e-05
1691,0.000348928
1761,0.000103424
1767,0.000290304
1844,0.000730624
1933,3.0208e-05
2072,0.000315648
2094,0.000254976
2283,0.000233216
2362,0.000117504
2477,0.00178048
2497,0.000226048
2570,0.000221696
2667,0.000195584
2770,5.5296e-05
2790,0.000174848
2833,0.000844032
3213,6.5792e-05
3318,0.000616448
3605,3.6608e-05
3643,0.000364544
3736,0.00026752
3827,0.002440192
4148,0.00048512
4192,0.000462848
4271,0.000600832
4376,0.000150016
4487,0.000485376
4512,0.000193536
4656,0.000849664
4727,6.912e-05
4764,0.001101056
4864,7.1424e-05
5091,0.001116672
5558,9.344e-05
5755,0.000482304
6373,0.000141312
6438,6.9632e-05
6485,0.000666112
6600,0.001344768
6895,0.000107776
6975,0.007388672
8835,9.5744e-05
9769,0.000151808
11288,0.001352448
12017,0.000897792
12115,0.00094464
12702,0.00070272
13436,0.000256768
14014,0.0012992
14173,2.816e-06
14571,0.002065408
14986,0.000576512
15136,0.000571648
15172,0.0006208
15229,0.00075904
15241,0.00109312
15733,0.000697088
16070,0.000201984
16282,0.000321024
16351,0.00300416
17030,0.00033152
17692,4.3264e-05
17776,0.000470528
18423,0.000226048
19287,0.000220416
19337,0.00026496
19441,0.00024448
19745,0.000238336
19927,0.001243392
20353,0.002172416
20374,0.0024832
20380,5.4528e-05
20381,0.004740096
20389,0.007185408
20475,0.001010688
20956,0.001254656
21648,0.000103168
21651,0.003018752
21652,0.006467584
29772,0.007269376
30970,0.000638208
37020,0.00084352
37925,0.000641024
39970,0.000411904
41662,0.003946752
41665,0.01320448
41666,0.00419712
46436,4.3264e-05
47343,0.000647424
47345,0.004629248
47346,0.014593024
48230,0.00234496
