sequence_number,time_to_detect_s
254879,0.1
633527,0.100211712
743795,0.100155648
839135,0.10010752
673389,0.100189696
154335,0.1
18593,0.1
226994,0.1
738803,0.10015872
395518,0.100009472
557851,0.100239616
714233,0.100174848
72664,0.1
783720,0.10013312
167755,0.1
729673,0.100164352
416544,0.10002048
737630,0.100159232
796042,0.100126976
632494,0.100212736
414989,0.100020736
564405,0.100232448
674794,0.100188672
267204,0.1
33433,0.1
122419,0.1
380572,0.100009216
301645,0.1
513973,0.10023808
385223,0.10000896
