sequence_number,time_to_detect_s
254879,0.100178432
633527,0.10129792
743795,0.100325888
839135,0.100157184
673389,0.10024704
154335,0.100227072
18593,0.100217088
226994,0.100213504
738803,0.100304896
395518,0.10026752
557851,0.100425216
714233,0.100164864
72664,0.100343808
783720,0.100278016
167755,0.100303616
729673,0.100169472
416544,0.103655424
737630,0.100175616
796042,0.100289792
632494,0.100628224
414989,0.100290304
564405,0.100641024
674794,0.10016896
267204,0.100376064
33433,0.100305152
122419,0.1007616
380572,0.100268032
301645,0.100236032
513973,0.100433408
385223,0.100277504
