sequence_number,time_to_detect_s
254879,0.100087296
633527,2.699929344
743795,2.699529472
839135,2.6994432
673389,2.699593728
154335,0.100112896
18593,0.100054272
226994,0.100053504
738803,2.699590912
395518,0.10013184
557851,2.699711232
714233,2.699534592
72664,0.10017152
783720,2.699493888
167755,0.100151808
729673,2.699497472
416544,0.101028608
737630,2.699505152
796042,2.69950208
632494,2.699756544
414989,0.100143104
564405,2.699762176
674794,2.699542016
267204,0.100095232
33433,0.100081408
122419,0.100376064
380572,0.100133376
301645,0.100064
513973,2.699719424
385223,0.100136192
