sequence_number,time_to_detect_s
828863,0.100777728
65391,0.1004608
51926,0.1005952
78681,0.100429056
48938,0.100364544
25765,0.100364288
591388,0.10038272
242013,0.100254208
76131,0.100390912
247381,0.100365568
695670,0.100432128
318838,0.100439552
687567,0.100394496
73298,0.100597504
586806,0.100536064
503674,0.102171136
608318,0.113375488
8244,0.100347392
570196,0.101629184
813380,0.105031424
652536,0.10040192
800041,0.100294144
269344,0.100310528
716501,0.100556032
102826,0.100270592
329294,0.100340736
291591,0.100359936
652617,0.103602944
34672,0.100522496
128042,0.100322048
