sequence_number,time_to_detect_s
297930,0.10017792
108842,0.10004224
372184,0.100366336
466840,0.100407808
66962,0.100033536
211330,0.100428544
343059,0.100278272
807980,0.100219136
55758,0.100010752
861505,0.100207104
835533,0.100228608
159519,0.100018944
202759,0.100008448
238491,0.100320256
57674,0.100009984
399271,0.100452864
389501,0.100339712
611141,0.100298496
279467,0.100214528
25382,0.100000256
682547,0.1002944
85976,0.100049664
687092,0.10028928
198844,0.100009216
703320,0.100273664
655515,0.100304128
796599,0.100229376
103484,0.100036864
386466,0.100346368
389997,0.100338432
