sequence_number,time_to_detect_s
297930,22.800565504
108842,0.100986368
372184,22.80371712
466840,22.801865216
66962,0.100975872
211330,22.801830912
343059,22.803017216
807980,22.801252352
55758,0.100826368
861505,22.801609984
835533,22.804267264
159519,0.100800256
202759,0.100494592
238491,22.80355968
57674,0.100701696
399271,22.80224
389501,22.801325312
611141,22.801289984
279467,22.800863232
25382,0.100402176
682547,22.801372928
85976,0.101131264
687092,22.801211136
198844,0.100584448
703320,22.802634752
655515,22.801735424
796599,22.800890368
103484,0.101065984
386466,22.80176
389997,22.80172544
