sequence_number,time_to_detect_s
638535,22.800441344
525909,22.800217088
802561,22.800228352
543339,22.80039936
677294,22.800323584
779526,22.803480576
175600,0.100132096
286666,22.80009344
40068,0.100251392
57570,0.100180992
844354,22.800290304
665737,22.800180992
677480,22.800155904
516532,22.800310016
3290,0.10011008
66837,0.102265856
225424,22.800205824
243133,22.800253952
480782,22.800270592
113813,0.100209152
410203,22.800452096
581809,22.80030464
440523,22.800679424
623003,22.800863488
4465,0.10011904
615696,22.800401408
407904,22.800534016
741030,22.800166656
34919,0.10039296
557309,22.800294912
