sequence_number,time_to_detect_s
174446,0.1
443279,0.100172032
413014,0.100204288
208975,0.100007424
397155,0.100222976
742020,0.100039936
767412,0.100037632
216732,0.100006912
24570,0.1
141120,0.1
173291,0.1
460275,0.100155392
351990,0.100012032
854321,0.100038912
710482,0.100046336
224305,0.100007936
26463,0.1
77197,0.1
484872,0.100134656
686533,0.1000512
185706,0.1
107048,0.1
428063,0.100188672
3045,0.100001024
626115,0.100067328
9605,0.100000256
103728,0.1
625759,0.100067328
28959,0.1
152749,0.1
