sequence_number,time_to_detect_s
174446,0.100382464
443279,0.100819968
413014,0.10043648
208975,0.100432384
397155,0.10124288
742020,0.1004032
767412,0.100466432
216732,0.10037376
24570,0.101703936
141120,0.100363008
173291,0.100460544
460275,0.100419584
351990,0.100467968
854321,0.101208832
710482,0.100571136
224305,0.108139264
26463,0.100318976
77197,0.100559872
484872,0.10044672
686533,0.100283136
185706,0.100581376
107048,0.101516288
428063,0.100484096
3045,0.100508928
626115,0.100335872
9605,0.100361728
103728,0.100587264
625759,0.10040832
28959,0.100324352
152749,0.100449024
