sequence_number,time_to_detect_s
733738,0.100041216
268586,0.100004864
667207,0.100056064
501361,0.100122368
691794,0.10004992
799223,0.10004352
81883,0.1
563055,0.100092928
162061,0.1
835376,0.10004096
72142,0.1
803963,0.100043008
797434,0.100043776
197438,0.1
457594,0.100157952
675559,0.100054272
826695,0.100042496
640426,0.100062464
660708,0.100056832
215797,0.100006912
476636,0.100141056
12132,0.100000256
40601,0.1
86551,0.1
762554,0.1000384
569062,0.100090112
716785,0.1000448
765931,0.100037888
282767,0.10001792
812793,0.100041216
