sequence_number,time_to_detect_s
733738,0.10065536
268586,0.100540416
667207,0.100738048
501361,0.100475648
691794,0.100509184
799223,0.100401152
81883,0.100656128
563055,0.10035072
162061,0.10044544
835376,0.10042112
72142,0.100356096
803963,0.100780544
797434,0.10036352
197438,0.1003328
457594,0.100387328
675559,0.100785152
826695,0.101744128
640426,0.100463104
660708,0.1005184
215797,0.100623872
476636,0.100420608
12132,0.100348416
40601,0.100252416
86551,0.100284672
762554,0.100516608
569062,0.10203264
716785,0.100309504
765931,0.100424192
282767,0.100443904
812793,0.100371456
