sequence_number,time_taken_to_correct_s
45653,1.999905536
52731,1.999870464
57158,1.99994112
63572,1.999995136
64650,1.999968
75280,2.000053504
88409,1.999964928
112549,1.99997568
114211,1.999918336
118550,2.000025088
127273,1.99990272
131422,2.000057088
139379,2.000064512
144416,2.000106752
146669,1.99995136
174964,2.000106752
183345,2.000281856
187300,1.999521792
192476,2.000200192
204225,1.999859456
205607,2.000048384
208007,1.9999872
229419,2.000117504
238777,1.99978112
256410,1.999835648
262144,1.999977728
272234,1.999739392
311380,1.99972352
312207,1.999117824
312941,2.000108288
326158,2.000060672
333048,1.999997696
338790,1.999905024
354931,1.999836928
372137,22.499654656
376270,1.999780864
377703,1.999615232
402520,1.99969152
407173,1.999637248
409246,1.999842304
423885,1.999878144
445718,1.999893504
450180,1.99983104
478629,1.999959808
481494,1.999844352
491575,1.999833344
496686,1.999952896
499082,1.999839744
512210,2.000001024
514199,1.999789312
522829,1.9999296
533371,2.00001664
540373,1.999797504
588285,1.999996928
589634,1.999825152
596338,1.999616256
601334,2.000022272
617759,1.999866624
628601,2.000059648
649131,2.000005888
653421,1.99993728
655390,1.99993856
665605,2.000007936
666871,2.000261632
676992,2.00005504
680188,1.999974144
687056,1.999848704
704242,1.999881472
709624,1.999973888
714236,1.999981312
749425,1.999995392
754393,1.999935232
759196,2.000035328
769799,2.000000768
791304,1.999807488
802566,1.999981056
807027,1.999736832
811697,1.999909888
822137,1.99985536
830345,2.000012288
839120,1.999899136
843902,2.000083456
846773,1.999973376
856333,1.999866624
