sequence_number,time_taken_to_correct_s
2931,1.999362048
5832,1.99949952
35565,1.999574784
44256,1.999590912
47826,1.99987584
83439,1.999602688
85666,1.999841024
94723,1.999583232
101548,1.999566592
101889,1.999441664
112472,1.99946624
114147,1.999343616
124968,1.999835392
138888,1.999704064
154795,1.999705088
158709,1.999613952
173849,1.999779584
190982,1.9994624
195984,1.999716608
198546,1.99976064
198690,1.999488512
198842,1.999531008
205403,1.999426048
216763,1.99889792
245373,1.999414784
252138,1.999609856
252164,1.856498176
262107,1.995610368
278339,1.999531776
292017,1.999291648
294692,1.999798016
296049,1.99965696
300035,1.99956992
308152,1.999424256
312812,1.999446784
332405,1.99956736
335152,1.99970944
343544,1.998391552
351168,1.999510272
356908,1.99329024
372137,22.498902528
382654,1.99947136
392009,1.999409152
403086,1.999404032
413341,1.99939584
423968,1.999020032
424268,1.999666944
450072,1.999504896
456073,1.999593728
460356,1.999428864
475599,1.999292416
496177,1.999441152
505336,1.999247872
509716,1.999540224
522237,1.999547392
559976,1.999508736
585083,1.999446272
618549,1.999696128
622092,1.99927552
626474,1.999519232
645727,1.99988864
652544,1.999564032
669139,1.999620608
674742,1.999565312
678693,1.999452416
679089,1.99939968
679850,1.99960704
718603,1.999991296
720704,1.999551488
721449,1.998797056
732412,1.999670016
739278,1.999682048
754576,1.999389696
776371,1.999655168
778432,1.99684608
798050,1.998721536
824752,1.999576064
853752,1.99928192
