sequence_number,time_to_detect_ns
355156,100319744.0
201235,100008704.0
436233,100438016.0
260416,100259072.0
406016,100492544.0
480998,100378880.0
767607,100244224.0
77337,100032768.0
185095,100010496.0
425668,100453120.0
114797,100036096.0
468675,100403968.0
486935,100372736.0
792090,100234240.0
281691,100209664.0
809717,100217344.0
571811,100355584.0
288121,100196352.0
114064,100036864.0
614554,100299520.0
130499,100029696.0
147308,100025088.0
278793,100216064.0
440379,100432640.0
734680,100269824.0
419832,100464384.0
399846,100451072.0
634494,100314624.0
143414,100027392.0
99329,100033024.0
