sequence_number,time_to_detect_ns
355156,108095744.0
201235,100427264.0
436233,117470464.0
260416,100307968.0
406016,100632576.0
480998,100370176.0
767607,100490240.0
77337,147101952.0
185095,100483584.0
425668,100384256.0
114797,100322560.0
468675,100500480.0
486935,100278016.0
792090,100542208.0
281691,100389632.0
809717,100664576.0
571811,102154240.0
288121,100413952.0
114064,100333824.0
614554,117890304.0
130499,100475136.0
147308,100492288.0
278793,100418304.0
440379,100377344.0
734680,100572416.0
419832,101358336.0
399846,100275456.0
634494,124408576.0
143414,100482816.0
99329,100364544.0
