sequence_number,time_to_detect_ns
355156,102283520.0
201235,100208640.0
436233,105068544.0
260416,100386048.0
406016,100790016.0
480998,100556544.0
767607,100372480.0
77337,117239808.0
185095,100243968.0
425668,100573952.0
114797,100153856.0
468675,100626944.0
486935,100481280.0
792090,100409856.0
281691,100389632.0
809717,100499456.0
571811,101064960.0
288121,100307200.0
114064,100166144.0
614554,108797952.0
130499,100238336.0
147308,100243968.0
278793,100418304.0
440379,100571904.0
734680,100425216.0
419832,101014784.0
399846,100548352.0
634494,107660032.0
143414,100239872.0
99329,100181760.0
