sequence_number,time_to_detect_s
828863,0.100229632
65391,0.10002944
51926,0.100013056
78681,0.100036352
48938,0.100015104
25765,0.100000256
591388,0.100320768
242013,0.100309504
76131,0.100028928
247381,0.100296448
695670,0.100279296
318838,0.100145664
687567,0.100288512
73298,0.100026368
586806,0.100328704
503674,0.10035712
608318,0.100302336
8244,0.100000256
570196,0.100357888
813380,0.10021632
652536,0.100304896
800041,0.100226048
269344,0.100238592
716501,0.100261632
102826,0.100037632
329294,0.100138496
291591,0.100189696
652617,0.10030464
34672,0.1
128042,0.100031488
