sequence_number,time_to_detect_s
828863,22.800847104
65391,0.1004608
51926,0.1005952
78681,0.100429056
48938,0.100364544
25765,0.100364288
591388,22.800624896
242013,22.800445696
76131,0.100390912
247381,22.800598272
695670,22.800540416
318838,22.800333824
687567,22.800468224
73298,0.100597504
586806,22.800723968
503674,22.801842944
608318,22.813047296
8244,0.100347392
570196,22.801300992
813380,22.802620928
652536,22.800694016
800041,22.800410624
269344,22.80044416
716501,22.800512768
102826,0.100270592
329294,22.800186112
291591,22.800389632
652617,22.803274752
34672,0.100269824
128042,0.100322048
