sequence_number,time_to_detect_ns

603031,100302848.0
254718,100273664.0
114665,100036352.0
434903,100437248.0
613543,100298496.0
108983,100041984.0
856112,100211968.0
374072,100362240.0
330083,100147200.0
221516,100379392.0
574793,100350464.0
772283,100252928.0
349904,100314880.0
682878,100293888.0
774133,100251392.0
70758,100028928.0
620989,100296704.0
341288,100262400.0
85229,100050688.0
21243,100000256.0
428591,100446208.0
47730,100007424.0
118930,100032512.0
604604,100300800.0
319606,100144384.0
150812,100023040.0
801851,100225280.0
479514,100381696.0
581011,100338944.0
821296,100217600.0
