sequence_number,time_to_detect_s
297930,0.100353536
108842,0.100485376
372184,0.101385728
466840,0.100589824
66962,0.100488704
211330,0.100574464
343059,0.101756928
807980,0.100573184
55758,0.100412672
861505,0.100692736
835533,0.102360064
159519,0.100399872
202759,0.100494592
238491,0.102011648
57674,0.100354048
399271,0.100673536
389501,0.1004672
611141,0.100445184
279467,0.100442368
25382,0.100402176
682547,0.100459776
85976,0.100569344
687092,0.1004224
198844,0.100584448
703320,0.101636864
655515,0.100551936
796599,0.100461824
103484,0.100530432
386466,0.100585216
389997,0.10054656
