sequence_number,time_to_detect_s
638535,0.100312576
525909,0.100313344
802561,0.100224512
543339,0.100287744
677294,0.100297728
779526,0.100245504
175600,0.100013056
286666,0.100199424
40068,0.1
57570,0.100009984
844354,0.100222464
665737,0.100308736
677480,0.100297472
516532,0.100331264
3290,0.100000512
66837,0.100033792
225424,0.10036608
243133,0.100305664
480782,0.100379392
113813,0.10003712
410203,0.100480512
581809,0.100337664
440523,0.100432384
623003,0.10029696
4465,0.100000512
615696,0.100297728
407904,0.100486144
741030,0.100263168
34919,0.1
557309,0.100324096
