sequence_number,time_to_detect_s
638535,0.101409024
525909,0.100372736
802561,0.10063872
543339,0.100865024
677294,0.100766208
779526,0.107551744
175600,0.10026496
286666,0.100342528
40068,0.100506368
57570,0.100381184
844354,0.10071296
665737,0.100343552
677480,0.100268544
516532,0.100559104
3290,0.1004224
66837,0.107780864
225424,0.100306432
243133,0.100678144
480782,0.10051968
113813,0.100430592
410203,0.10046848
581809,0.100442624
440523,0.101239552
623003,0.102269184
4465,0.100430336
615696,0.10083328
407904,0.100783104
741030,0.100415744
34919,0.100802048
557309,0.100544
