sequence_number,time_to_detect_ns

472764,108785408.0
47383,100126208.0
575491,100476928.0
212435,100668672.0
7976,100093696.0
221652,100465920.0
463438,100610816.0
505024,100512000.0
478263,100490752.0
665482,100446976.0
193166,100194304.0
485530,100734208.0
229150,100457984.0
848936,100478464.0
676864,100532736.0
483260,117679104.0
635202,100648704.0
569570,100643328.0
45256,100114944.0
638407,100597760.0
235784,100645888.0
260421,100435968.0
395734,150425600.0
573233,100671488.0
635722,101852672.0
600938,100549632.0
665394,101782016.0
184038,100214528.0
156253,100198144.0
149914,100233728.0
