sequence_number,time_taken_to_correct_ns
8926,1999853568.0
13448,2000075008.0
16575,2000313344.0
19288,2000036864.0
20573,1999944960.0
31317,2000032768.0
43350,1999949568.0
46130,1999996928.0
47851,1999908608.0
70237,1999840000.0
81424,1999982848.0
85079,2002091776.0
89037,1999890176.0
98533,1999882752.0
100018,1999883520.0
100215,1999996160.0
104791,1999913216.0
110974,1999814144.0
137854,2000077056.0
138486,2000128512.0
169446,1999906816.0
174934,2000007168.0
179377,1999809536.0
190952,2000114432.0
208554,22699832064.0
232962,1999659520.0
246241,1999536896.0
281322,1999685120.0
291685,1999716864.0
295924,1999910400.0
330890,2001316608.0
334415,1999811584.0
343325,1999733504.0
348902,1999754496.0
350933,1999590400.0
372587,1996079104.0
374675,1999634432.0
375408,1999742976.0
380748,1999667200.0
382253,2006797312.0
385344,1999731712.0
395834,2800458240.0
396032,2600866816.0
449136,1999753472.0
452978,1999552768.0
476950,1999629312.0
491294,1999849216.0
493962,1999815936.0
496978,1999779328.0
500711,2201130752.0
501950,1999314176.0
517663,1999826944.0
529863,1999703040.0
531368,2000097280.0
542601,1999467008.0
544524,1999811328.0
563551,1999453184.0
569685,1999736320.0
581043,1999647232.0
603836,1999826944.0
618115,1999765760.0
631118,1999798272.0
657382,2000259584.0
663617,1999838208.0
684618,1999868672.0
705988,1999728128.0
721049,1999836928.0
733638,1999696896.0
757680,1999910656.0
772347,2000086016.0
794393,1999726848.0
801043,1999600128.0
814864,1999775232.0
821688,1999553024.0
834256,1999832576.0
849205,1999813888.0
855134,1999798272.0
856058,1999870208.0
860740,1999858944.0
