sequence_number,time_taken_to_correct_ns
8926,1999367680.0
13448,1999429632.0
16575,1999830272.0
19288,1999529216.0
20573,1999472128.0
31317,1997472256.0
43350,1999419648.0
46130,1999483392.0
47851,1999474432.0
70237,1999430656.0
81424,1999515904.0
85079,2000281088.0
89037,1999574272.0
98533,1999172608.0
100018,1998233856.0
100215,1999571968.0
104791,1999557632.0
110974,1999487488.0
137854,1999791872.0
138486,1999754240.0
169446,1999465984.0
174934,1999718400.0
179377,1999102720.0
190952,1999574272.0
208554,22699513600.0
232962,1999568896.0
246241,1999292672.0
281322,1999311616.0
291685,1999511808.0
295924,1997176576.0
330890,1972034560.0
334415,1997739008.0
343325,1994067200.0
348902,1923709696.0
350933,1999377408.0
372587,1975867392.0
374675,1998821632.0
375408,1997952000.0
380748,1990617088.0
382253,2004459264.0
385344,1999419904.0
395834,2799757568.0
396032,2600941568.0
449136,1993973248.0
452978,1999233024.0
476950,1984917504.0
491294,1999589632.0
493962,1999846400.0
496978,1999674880.0
500711,2201000448.0
501950,1999226624.0
517663,1999781376.0
529863,1999477248.0
531368,1999900416.0
542601,1998949632.0
544524,1998270464.0
563551,1998804480.0
569685,1999699712.0
581043,1999463168.0
603836,1999638272.0
618115,1997677568.0
631118,1999224320.0
657382,1956745472.0
663617,1999335936.0
684618,1999750912.0
705988,1999352576.0
721049,1999706112.0
733638,1999366912.0
757680,1999591424.0
772347,1999832320.0
794393,1999614464.0
801043,1999389440.0
814864,1998949632.0
821688,1979592448.0
834256,1999747584.0
849205,1999479808.0
855134,1998999040.0
856058,1999524096.0
860740,1999623680.0
