sequence_number,time_taken_to_correct_ns
10174,1999676416.0
18553,1999206656.0
30991,1999197184.0
35797,1999435264.0
36333,1997390080.0
39208,1999143936.0
46140,1998676480.0
65804,1998604288.0
71620,1999236352.0
77738,1998873856.0
89371,1999453184.0
99052,1999360768.0
114059,1999267840.0
125271,1999376128.0
126070,1999002624.0
135231,1999262976.0
136617,1999170816.0
139391,1999256320.0
140830,1998983936.0
141975,1999136256.0
152908,1999313920.0
161016,1999392256.0
164487,1999251200.0
202305,1999331840.0
205001,1999251456.0
208554,22699513600.0
218051,1985775872.0
229959,1998149632.0
234031,1997906944.0
257622,1998490112.0
259634,1996728064.0
295936,1997537536.0
308400,1998848768.0
315520,1998392576.0
318781,1999101440.0
319242,1998562560.0
325815,1998749952.0
342942,1990098688.0
355574,1996413184.0
367732,1989003776.0
368413,1997683712.0
376148,1997751808.0
376385,1986089984.0
389652,1997660928.0
395834,2797672192.0
396032,2599204864.0
406542,1997551104.0
419756,1996726528.0
420819,1997371136.0
421653,1997776896.0
422076,1975790336.0
428174,1998023680.0
445271,1832461312.0
456967,1997957888.0
465873,1997146112.0
468384,1997620992.0
475903,1998104320.0
484374,1992716800.0
499666,1997952512.0
500711,2199583232.0
506067,1998044160.0
511846,1998187776.0
527398,1998195200.0
559428,1948016128.0
567378,1996406784.0
575741,1993696256.0
576801,1998053632.0
582667,1998263040.0
620385,1997079808.0
632898,1989438720.0
642408,1998189824.0
692587,1998261760.0
701312,1997409024.0
707602,1997831424.0
734704,1998023424.0
744616,1998163968.0
745249,1997984768.0
759106,1980526336.0
765349,1998294272.0
774283,1988631808.0
805498,1998470912.0
835611,1997394176.0
849851,1997804288.0
