sequence_number,time_taken_to_correct_ns
4849,2000127232.0
6730,1999903744.0
14789,2000092416.0
15822,1999836160.0
26352,2000022528.0
29359,1999987200.0
31063,2000011776.0
53572,2000097024.0
57795,2000070656.0
58921,1999726336.0
64237,1999891200.0
69941,1999951616.0
78997,2000014848.0
82447,2000023040.0
93907,1999724800.0
124590,1999878144.0
136309,1999980544.0
151985,1999987200.0
168499,2000042752.0
174160,2000018944.0
195880,1999626752.0
201126,1999992576.0
208554,22699832064.0
214817,1999668224.0
234487,1999534848.0
242918,1999545088.0
257504,1999540992.0
258039,1999665152.0
261545,1999816960.0
263588,1999782912.0
265779,1999463936.0
282921,1999792128.0
287218,1999841024.0
290486,1999780352.0
290493,1999781120.0
290757,1999873536.0
292003,1999821568.0
314928,1999995648.0
326997,2000099072.0
330057,2000078592.0
343378,1999853824.0
349961,1999424512.0
375598,1999679232.0
388408,1999871488.0
395834,2800458240.0
396032,2600866816.0
396973,1996656384.0
399704,1999366144.0
414589,1999471360.0
416064,1999492608.0
417851,1999607296.0
428070,1999687424.0
435091,1999535616.0
447928,1999619328.0
450776,1999671296.0
483855,1999608064.0
500711,2201130752.0
515525,1999640064.0
516247,2000204544.0
529590,1999668992.0
533425,1999725056.0
543456,1998950656.0
572666,1998891520.0
573264,1999769088.0
577812,1999769088.0
579810,1999708928.0
588006,1999606016.0
604790,1999608576.0
614874,1999700736.0
638982,1999531520.0
640485,1999703296.0
652175,1999664384.0
668287,1999783168.0
708197,1999660288.0
711576,1999787264.0
719239,1999782144.0
724920,2000868608.0
759057,1999683328.0
760349,1999838464.0
802723,1999804416.0
808263,1999843584.0
831100,1999672320.0
836452,1999779328.0
842905,1999862784.0
843085,1999880192.0
