sequence_number,time_taken_to_correct_ns
4849,1999743232.0
6730,1997522432.0
14789,1999794432.0
15822,1999483904.0
26352,1999852288.0
29359,1999544576.0
31063,1999765504.0
53572,1999498240.0
57795,1999749376.0
58921,1996721920.0
64237,1999596288.0
69941,1999610624.0
78997,1999494912.0
82447,1999672064.0
93907,1999273216.0
124590,1999525120.0
136309,1999637504.0
151985,1999422464.0
168499,1999678464.0
174160,1999710976.0
195880,1999074048.0
201126,1999143936.0
208554,22699513600.0
214817,1999709696.0
234487,1999613696.0
242918,1999512832.0
257504,1999523584.0
258039,1999440640.0
261545,1999705856.0
263588,1999680768.0
265779,1999073280.0
282921,1999654912.0
287218,1999764992.0
290486,1999541760.0
290757,1999777792.0
292003,1999575040.0
314928,1999819776.0
326997,1997625344.0
330057,1999736832.0
343378,1999767808.0
349961,1999200000.0
375598,1999327232.0
388408,1999853056.0
395834,2799757568.0
396032,2600941568.0
396973,1991831552.0
399704,1999240448.0
414589,1999531776.0
416064,1999431424.0
417851,1999555328.0
428070,1990735104.0
435091,1998782720.0
447928,1999649024.0
450776,1999268864.0
483855,1998311424.0
500711,2201000448.0
515525,1999467008.0
516247,2000075520.0
529590,1999423232.0
533425,1999705600.0
543456,1992638208.0
572666,1962690304.0
573264,1998092032.0
577812,1999324928.0
579810,1991841792.0
588006,1999572224.0
604790,1999364096.0
614874,1999477504.0
638982,1998921472.0
640485,1999365632.0
652175,1998848000.0
668287,1999107328.0
708197,1999315200.0
711576,1999685376.0
719239,1999666944.0
724920,1998804224.0
759057,1998292736.0
760349,1999334656.0
802723,1998397184.0
808263,1999347200.0
831100,1999394816.0
836452,1998465024.0
842905,1999648256.0
843085,1999748864.0
