sequence_number,time_taken_to_correct_ns
4849,1999942144.0
6730,1998730752.0
14789,1999947520.0
15822,1999739648.0
26352,1999940864.0
29359,1999767296.0
31063,1999890688.0
53572,1999812352.0
57795,1999922688.0
58921,1998240512.0
64237,1999756032.0
69941,1999794688.0
78997,1999770880.0
82447,1999870208.0
93907,1999509760.0
124590,1999713280.0
136309,1999820032.0
151985,1999719680.0
168499,1999869184.0
174160,1999878400.0
195880,1999471360.0
201126,1999574016.0
208554,22699750912.0
214817,1999521536.0
234487,1999430656.0
242918,1999429120.0
257504,1999454976.0
258039,1999440640.0
261545,1999705856.0
263588,1999680768.0
265779,1999223552.0
282921,1999654912.0
287218,1999764992.0
290486,1999648768.0
290757,1999777792.0
292003,1999686656.0
314928,1999901952.0
326997,1998955008.0
330057,1999862528.0
343378,1999673344.0
349961,1999200000.0
375598,1999327232.0
388408,1999761152.0
395834,2800018176.0
396032,2600768000.0
396973,1995311872.0
399704,1999097344.0
414589,1999324416.0
416064,1999299840.0
417851,1999422720.0
428070,1997431808.0
435091,1999086080.0
447928,1999437056.0
450776,1999268864.0
483855,1999156224.0
500711,2201000448.0
515525,1999467008.0
516247,2000075520.0
529590,1999423232.0
533425,1999624960.0
543456,1995936256.0
572666,1981377536.0
573264,1999121152.0
577812,1999524608.0
579810,1995995136.0
588006,1999478784.0
604790,1999364096.0
614874,1999477504.0
638982,1999152896.0
640485,1999530752.0
652175,1999128064.0
668287,1999354368.0
708197,1999468032.0
711576,1999685376.0
719239,1999666944.0
724920,1999982848.0
759057,1999123968.0
760349,1999525376.0
802723,1999223296.0
808263,1999528704.0
831100,1999519232.0
836452,1999216640.0
842905,1999648256.0
843085,1999748864.0
