sequence_number,time_to_detect_ns
101548,100000000.0
27626,100000000.0
427745,100189184.0
770540,100036864.0
572400,100088576.0
457436,100157952.0
123928,100000000.0
498052,100124928.0
121335,100000000.0
117100,100000000.0
428980,100187648.0
192878,100000000.0
294155,100016128.0
661720,100056320.0
236903,100006912.0
679908,100052992.0
472743,100144384.0
595814,100078080.0
837702,100040448.0
168699,100000000.0
435025,100180736.0
815484,100040704.0
277490,100018688.0
552141,100097280.0
373833,100252416.0
455581,100159744.0
366083,100012800.0
190315,100000000.0
127929,100000000.0
784492,100037888.0
