sequence_number,time_to_detect_ns
101548,100542720.0
27626,100487424.0
427745,115838208.0
770540,100463360.0
572400,100228352.0
457436,100329216.0
123928,100513792.0
498052,100467712.0
121335,100425984.0
117100,100308736.0
428980,100459520.0
192878,100475392.0
294155,100505600.0
661720,100420352.0
236903,101895424.0
679908,100326656.0
472743,100721408.0
595814,100377088.0
837702,100637184.0
168699,100443648.0
435025,100395264.0
815484,100596736.0
277490,100578816.0
552141,100873728.0
373833,100414208.0
455581,100272128.0
366083,100446720.0
190315,100320000.0
127929,100356864.0
784492,106940416.0
