sequence_number,time_to_detect_ns
101548,100270080.0
27626,100129024.0
427745,107808256.0
770540,100231168.0
572400,100172800.0
457436,100247040.0
123928,100251392.0
498052,100351744.0
121335,100206592.0
117100,100087296.0
428980,100344576.0
192878,100232960.0
294155,100246784.0
661720,100212736.0
236903,100932608.0
679908,100166656.0
472743,100360192.0
595814,100185856.0
837702,100318720.0
168699,100219136.0
435025,100297728.0
815484,100295168.0
277490,100294912.0
552141,100437248.0
373833,100414208.0
455581,100272128.0
366083,100220160.0
190315,100158464.0
127929,100089856.0
784492,103429632.0
