sequence_number,time_to_detect_s
825957,0.100042752
836608,0.100040704
380519,0.100246528
139132,0.1
618491,0.100069888
183601,0.1
538110,0.100104192
153172,0.1
520241,0.100110848
426219,0.100190976
588438,0.100081152
310760,0.10001408
466570,0.10014976
150038,0.1
200095,0.100002048
54092,0.1
367809,0.100012544
853075,0.100039168
628030,0.10006656
790658,0.10004224
681963,0.10005248
407830,0.1002112
639128,0.10006272
505123,0.100120576
357370,0.100012544
839479,0.100040192
690685,0.100050176
503976,0.1001216
755503,0.10003712
481026,0.100137728
