sequence_number,time_to_detect_s
825957,0.100390144
836608,0.100299776
380519,0.100365056
139132,0.100961792
618491,0.100357376
183601,0.100320256
538110,0.10165632
153172,0.100430592
520241,0.100336384
426219,0.100651008
588438,0.100418048
310760,0.100407296
466570,0.100337664
150038,0.10065408
200095,0.100443904
54092,0.10047104
367809,0.100450816
853075,0.100507904
628030,0.10056576
790658,0.100600064
681963,0.100451584
407830,0.100452352
639128,0.100367616
505123,0.100914944
357370,0.100297728
839479,0.100466176
690685,0.10069376
503976,0.100436224
755503,0.100401664
481026,0.100343552
