sequence_number,time_to_detect_ns

711013,100587264.0
123658,100947968.0
486560,100460544.0
553115,100919040.0
312023,100349696.0
159115,100368640.0
146132,100350976.0
789977,145659904.0
582847,100247552.0
458994,100453632.0
372476,100560896.0
130897,100627200.0
478897,100486656.0
424044,100641536.0
754426,100541696.0
507645,100451840.0
475098,100739584.0
633918,100374016.0
395666,100584448.0
659302,100960768.0
320467,100425728.0
413338,100554752.0
618483,100453120.0
230858,100463616.0
169073,100433152.0
511525,100379392.0
751760,100318976.0
55976,100478720.0
67767,100436224.0
676671,100550656.0
