sequence_number,time_to_detect_s
174446,0.100774912
443279,22.599806464
413014,22.599454976
208975,0.100864512
397155,22.600639744
742020,22.598937088
767412,22.599081472
216732,0.10037376
24570,0.103441152
141120,0.100733696
173291,0.100460544
460275,22.599431168
351990,0.100928768
854321,22.60057856
710482,22.599268864
224305,0.116297216
26463,0.100318976
77197,0.101123584
484872,22.599504128
686533,22.598710016
185706,0.100581376
107048,0.103041024
428063,22.599625984
3045,0.100508928
626115,22.598812928
9605,0.100361728
103728,0.101181952
625759,22.598952704
28959,0.100324352
152749,0.100906752
