sequence_number,time_to_detect_ns

607550,100073984.0
101584,100000000.0
647490,100060160.0
119578,100000000.0
192398,100000000.0
561404,100093952.0
815566,100040704.0
171718,100000000.0
88188,100000000.0
670149,100055808.0
858376,100039168.0
663911,100056320.0
675988,100054016.0
719247,100044288.0
272518,100004864.0
265258,100005120.0
783057,100037120.0
705265,100047104.0
453628,100161536.0
638383,100062976.0
657208,100057088.0
406471,100212992.0
620140,100069376.0
356319,100011520.0
832918,100041472.0
328258,100013056.0
702735,100047616.0
592253,100079616.0
802271,100043008.0
92074,100000000.0
