sequence_number,time_to_detect_ns

607550,100524544.0
101584,100441856.0
647490,100635136.0
119578,100519936.0
192398,102829824.0
561404,100667392.0
815566,100328448.0
171718,100421888.0
88188,100395008.0
670149,100433664.0
858376,100341504.0
663911,100581888.0
675988,100294400.0
719247,100287488.0
272518,100439040.0
265258,100472064.0
783057,100342784.0
705265,100552192.0
453628,100379136.0
638383,100381440.0
657208,100311040.0
406471,100366848.0
620140,100474624.0
356319,101108992.0
832918,100318464.0
328258,100343040.0
702735,100414208.0
592253,100356096.0
802271,100474624.0
92074,100156928.0
