sequence_number,time_to_detect_s
733738,22.59961472
268586,0.100261376
667207,22.599659008
501361,22.599638528
691794,22.599536384
799223,22.599484672
81883,0.100322048
563055,22.59954304
162061,0.10011648
835376,22.599486464
72142,0.100091904
803963,22.599668224
797434,22.599465216
197438,0.100164864
457594,22.599573248
675559,22.599668992
826695,22.600144128
640426,22.599517184
660708,22.59955328
215797,0.100310016
476636,22.599597824
12132,0.100093184
40601,0.100065024
86551,0.100136704
762554,22.599532544
569062,22.60029184
716785,22.599446016
765931,22.5994944
282767,0.100218368
812793,22.599470848
