sequence_number,time_taken_to_correct_ns
2530,1999909120.0
10244,1999805952.0
12117,2000057600.0
13908,1999735552.0
15376,2000022016.0
39856,2000154368.0
42374,1999970560.0
56114,1999988736.0
63325,2000121600.0
72841,1999776256.0
76112,1999793664.0
78190,1999917056.0
84486,2000161024.0
85807,2000028672.0
106687,1999881728.0
108373,1999954176.0
147819,1999952640.0
148957,2000064256.0
156136,1999960832.0
160888,1999902720.0
169887,2000014848.0
190358,2000028160.0
196970,1999896832.0
200755,1999979520.0
203011,2000002304.0
222945,2000166400.0
229510,2000014336.0
238073,2000225280.0
239049,1999872256.0
247525,2000048640.0
253164,2000002560.0
255051,1999926016.0
259816,2000105984.0
266080,2000180736.0
293655,1999874560.0
295304,1999788032.0
297654,2000025088.0
300176,1999650048.0
306875,2000010752.0
317171,2000098048.0
320174,2000080640.0
329472,2000029184.0
329479,1999810816.0
364564,2000146432.0
365039,1999903744.0
368857,2000061440.0
369851,1999824640.0
372137,22499654656.0
377348,1999684864.0
379809,1999744000.0
383728,1999502080.0
391359,1999751168.0
409606,1999910656.0
414423,1999854336.0
416828,1999793152.0
437706,1999666688.0
443056,1999746816.0
447684,1999736320.0
448942,1999761408.0
449038,2000051456.0
450959,1999749632.0
457744,1999617536.0
462104,1999853312.0
464185,1999864832.0
465070,1999876864.0
471049,1999853568.0
475273,1999921920.0
485463,1999824896.0
491372,1999772160.0
511416,1999857664.0
512449,2000044544.0
536455,2000145664.0
562086,2000005632.0
576067,1999872768.0
605096,1999895808.0
617833,1999772416.0
630250,1999940096.0
640766,1999928064.0
652715,1999844864.0
656231,1999997184.0
662254,1999895808.0
666482,1999932928.0
667455,1999895552.0
668121,1999863040.0
674926,1999835392.0
675661,2000070144.0
696384,1999916288.0
701198,1999868160.0
702620,1999970816.0
704599,2000040704.0
707444,1999869952.0
717837,1999957760.0
721026,1999914496.0
739135,2000115712.0
739479,1999927040.0
743183,1999940096.0
743955,1999903488.0
751875,1999714048.0
754021,2000183040.0
754971,1999800832.0
756049,1999826432.0
776682,2000041216.0
809643,1999930624.0
825916,1999870208.0
829959,2000099840.0
840224,1999874560.0
848641,2000140032.0
848877,2000014592.0
856077,1999975168.0
