sequence_number,time_taken_to_correct_ns
10304,1999730944.0
18502,1999411200.0
26863,1999793664.0
41965,1999792384.0
46581,1999734016.0
48580,1999406336.0
67575,1999247872.0
86370,1999365120.0
91655,1999571712.0
153072,1999573760.0
169391,1999671296.0
171871,1999693056.0
183748,1999385856.0
185289,1999575296.0
186401,1999399680.0
240418,1999464448.0
252097,1999438592.0
252377,1999604992.0
254350,1999717632.0
293117,1999607296.0
293895,1999485440.0
300715,1999644160.0
316153,1999664384.0
323586,1999398912.0
326573,1999914752.0
327368,1999718656.0
332274,1999475968.0
341829,1999907072.0
357627,1999656704.0
362267,1998857216.0
368783,1999543040.0
372137,22498902528.0
381346,1999829248.0
386850,1999376640.0
388223,1999635200.0
393886,1999405568.0
401336,1999549440.0
421619,1998906624.0
426470,1999277568.0
441088,1999529472.0
442384,1999691520.0
445776,1999478016.0
459799,1999531008.0
462182,1999695872.0
475211,1999514624.0
480027,1999135744.0
487002,1998947840.0
487851,1999369984.0
489192,1999274496.0
495048,1999280384.0
506314,1993898240.0
508785,1998052096.0
511127,1967887360.0
527242,1999518976.0
533716,1999654656.0
534819,1999767552.0
553634,1999485696.0
567969,1999707136.0
569062,1997773312.0
569643,1999742208.0
577854,1999445504.0
583257,1999613184.0
600583,1999375872.0
625729,1999349504.0
634167,1999516928.0
648981,1999640320.0
650536,1999168512.0
652516,1999371520.0
667325,1999621632.0
669422,1999631872.0
676546,1999400448.0
689693,1999757312.0
689819,1999492352.0
708071,1999566592.0
708166,1997747456.0
709329,1999453440.0
716439,1999692288.0
727406,1999779584.0
738518,1999720960.0
758757,1999579648.0
768110,1999843072.0
768583,1999276544.0
779203,1999663104.0
782117,1999269632.0
786702,1992975104.0
788003,1998045696.0
790767,1998259456.0
793307,1999566848.0
796917,1999298560.0
802159,1999496192.0
817586,1999943168.0
818872,1999680256.0
822724,1999348480.0
826528,1999272704.0
826756,1999132672.0
828525,1999426816.0
856065,1996172800.0
862458,1999394304.0
863218,1999740416.0
