sequence_number,time_taken_to_correct_ns
41359,1999833088.0
42010,2000083200.0
43393,1999870720.0
43784,1999900928.0
49689,1999908864.0
55242,1999890176.0
56913,2000109568.0
61141,1999703040.0
62619,2000107264.0
64507,1999814400.0
65894,1999855616.0
67246,1999902976.0
102878,2000088832.0
104720,1999841280.0
120137,2000134400.0
150688,2000253952.0
153266,1999917824.0
180752,1999962880.0
185455,1999849472.0
189061,1999900928.0
199220,1999947264.0
209257,1999916800.0
214191,1999703040.0
232833,2000109056.0
235639,1999916544.0
246432,2000125184.0
256379,1999842304.0
258824,1999933696.0
262181,1999910400.0
304603,2000046592.0
305749,2000082176.0
307312,2000019712.0
307603,2000107520.0
310184,2000005120.0
319127,1999879168.0
325403,2000154880.0
329892,1999922688.0
331226,1999840256.0
341605,2000021248.0
341893,2001977600.0
353098,2000052992.0
356868,1999969280.0
372137,22499654656.0
374973,1999739136.0
393205,1999788288.0
398150,1999861504.0
404838,1999688192.0
411819,1999864064.0
437805,2000006912.0
444929,2000092416.0
452399,1999809280.0
465559,1999986944.0
492536,1999700480.0
492808,1999749120.0
493629,1999906816.0
495563,1999871232.0
509689,1999920384.0
510658,1999852544.0
532028,1999863808.0
537259,1999908096.0
539160,1999883776.0
545378,1999937280.0
554980,1999868160.0
555563,2000071424.0
559954,1999776512.0
563131,1999907584.0
580852,1999795456.0
581326,1999840512.0
582722,1999885824.0
583487,2000179968.0
589353,1999888384.0
625403,1999938304.0
644579,1999946496.0
646963,1999812352.0
653570,1999935232.0
654331,1999787008.0
659058,2000027904.0
660800,1999971840.0
676106,1999986944.0
682269,1999921920.0
684994,1999911424.0
686195,1999628544.0
697688,1999884800.0
716276,1999983104.0
732750,1999808512.0
738853,1999707904.0
741895,2000010240.0
745571,1999797760.0
747611,2000240128.0
750322,1999925504.0
751944,1999816960.0
762455,1999721472.0
773857,1999858944.0
784574,1999752192.0
816497,1999777536.0
817462,2000100352.0
820459,2000106752.0
827287,2000112128.0
828214,2000014848.0
854538,2000072960.0
856789,1999920896.0
862268,1999924736.0
