sequence_number,time_taken_to_correct_ns
8599,1999074816.0
12705,1999337472.0
15185,1999842816.0
16359,1999620864.0
55789,1999074560.0
64401,1999644416.0
74462,1999511552.0
74915,1998001408.0
96061,1999689472.0
125257,1999881728.0
127046,1999913472.0
139168,1999713792.0
139743,1999689984.0
141002,1999508992.0
145301,1999833856.0
149710,1999702784.0
172776,1999584512.0
194687,1999004928.0
203258,1999688448.0
205690,1999551232.0
231291,1999497984.0
237012,1998886656.0
240075,1999521024.0
254494,1999065856.0
257231,1999511808.0
267109,1999898112.0
275895,1995208448.0
284325,1998077184.0
295467,1999287296.0
304505,1999461376.0
306943,1999523840.0
322838,1999529728.0
344082,1999329792.0
352483,1999091456.0
367004,1999558400.0
372137,22498902528.0
379478,1999624704.0
379884,1998707712.0
384695,1999246592.0
412384,1999408128.0
420993,1999520512.0
423495,1992778752.0
427277,1999930368.0
446615,1999589376.0
457129,1999037696.0
488927,1999202560.0
490004,1999472384.0
518030,1999601920.0
524746,1999579136.0
528605,1999670784.0
530877,1999893504.0
533454,1999263232.0
535584,1994318080.0
537621,1998896128.0
546707,1999639040.0
568209,1999486464.0
572249,1999545344.0
589036,1999790336.0
599659,1999458816.0
600211,1999472640.0
629933,1998694912.0
639265,1999670784.0
663109,1999538176.0
664954,1997732352.0
690747,1999474944.0
692791,1999584256.0
693721,1997291776.0
739841,1999248128.0
756444,1999604736.0
764565,1999741696.0
766603,1999718400.0
774208,1999619840.0
780102,1999707904.0
780670,1999669248.0
788916,1997996800.0
798017,1997927936.0
805244,1999631104.0
807855,1999477248.0
812306,1997344768.0
814002,1999468288.0
814082,1998967040.0
815126,1999693312.0
822732,1999443968.0
823198,1999311616.0
837488,1999685376.0
838966,1999735808.0
843532,1999738880.0
863275,1999358464.0
