sequence_number,time_taken_to_correct_ns
41359,1999689728.0
42010,2000017152.0
43393,1999638784.0
43784,1999731456.0
49689,1999768832.0
55242,1999802624.0
56913,1998124800.0
61141,1999552768.0
62619,2000004864.0
64507,1999705600.0
65894,1999704832.0
67246,1999732480.0
102878,1999897856.0
104720,1999717120.0
120137,1999983104.0
150688,2000072448.0
153266,1999817216.0
180752,1999815936.0
185455,1999676416.0
189061,1999786240.0
199220,1999850496.0
209257,1999812352.0
214191,1999548672.0
232833,2000011776.0
235639,1999676160.0
246432,1999267328.0
256379,1999743488.0
258824,1999857408.0
262181,1999766016.0
304603,1999574016.0
305749,1999797248.0
307312,1999755008.0
307603,1999934976.0
310184,1999783936.0
319127,1999704064.0
325403,1999864320.0
329892,1999728640.0
331226,1999735040.0
341605,1999791104.0
341893,2001062400.0
353098,1999857408.0
356868,1999779328.0
372137,22499283200.0
374973,1999557632.0
393205,1999640064.0
398150,1999226624.0
404838,1999558144.0
411819,1999648768.0
437805,1999748096.0
444929,1999926272.0
452399,1999608064.0
465559,1999877632.0
492536,1999506688.0
492808,1999527168.0
493629,1999784448.0
495563,1999677952.0
509689,1999731456.0
510658,1999720448.0
532028,1999747584.0
537259,1999730176.0
539160,1999665664.0
545378,1999830016.0
554980,1999414016.0
555563,1999878144.0
559954,1999636480.0
563131,1999794176.0
580852,1999677696.0
581326,1999489280.0
582722,1999796224.0
583487,1997684992.0
589353,1999639296.0
625403,1999807232.0
644579,1999803904.0
646963,1999687168.0
653570,1999758080.0
654331,1999696384.0
659058,1999906816.0
660800,1999541760.0
676106,1999893760.0
682269,1999664128.0
684994,1999795456.0
686195,1999460608.0
697688,1999719936.0
716276,1999830016.0
732750,1999667712.0
738853,1999464448.0
741895,1999894272.0
745571,1999683840.0
747611,2000057088.0
750322,1999647232.0
751944,1999547136.0
762455,1999498496.0
773857,1999743488.0
784574,1999446272.0
816497,1990557440.0
817462,1999946496.0
820459,1999896832.0
827287,1999821568.0
828214,1999874304.0
854538,1999239424.0
856789,1999757824.0
862268,1999812096.0
