sequence_number,time_taken_to_correct_ms
3,0.171572
4,0.020523
5,0.036249
7,0.00646
10,0.133001
13,0.019973
14,0.004456
15,0.011758
16,0.014069
18,0.006535
20,0.026008
21,0.072076
24,0.013278
25,3.9e-05
26,0.012767
29,0.019637
30,0.001722
31,0.003587
34,0.051997
36,0.030744
40,0.012319
44,0.013549
45,0.025788
46,0.763047
49,0.025431
50,0.114049
52,0.016984
54,0.004731
56,0.004024
57,0.00752
59,0.027465
61,0.005631
66,0.028834
68,0.001728
69,0.094362
71,0.075712
74,0.022683
75,0.335262
78,0.048746
80,0.029684
82,0.015004
83,0.008453
84,0.009954
87,0.021595
91,0.045907
94,0.050026
97,0.033057
98,0.015134
101,0.034532
104,0.043688
107,0.018117
110,0.012813
112,0.005731
114,0.01941
116,0.008391
117,0.030349
121,0.028295
123,0.026649
125,0.006379
127,0.013829
130,0.006566
131,0.01638
134,0.006396
135,0.011611
139,0.005974
142,0.008705
144,0.007092
146,0.011831
148,0.000114
150,0.007197
152,0.051734
154,0.037527
155,0.002864
157,0.008262
158,0.005616
159,0.399305
163,0.010521
164,0.041478
166,0.007307
167,0.003148
168,0.037145
171,0.013474
172,0.000609
176,0.027144
178,0.007642
179,0.022269
181,0.026063
182,0.007242
184,0.05937
187,0.031734
189,0.031296
191,0.027874
192,0.007132
193,0.030459
195,0.008138
196,0.026684
197,0.004187
199,0.000969
200,0.014497
202,0.347388
205,0.040749
207,0.025257
210,0.005897
212,0.016363
213,0.01196
215,0.007811
216,0.006893
218,0.012234
219,0.024276
221,0.010802
223,0.008904
224,0.031742
227,0.035636
229,0.021907
231,0.026988
233,0.025296
235,0.012202
236,0.075032
239,0.017454
241,0.040745
243,0.033703
244,0.009667
246,0.003755
247,0.039929
249,0.019205
251,0.015046
252,0.033548
257,0.010451
258,0.008932
260,0.047056
262,0.021189
265,0.018252
267,0.004026
268,0.015159
270,0.013974
273,0.033902
275,0.011406
277,0.04029
279,0.022238
281,0.008945
284,0.049271
287,0.055999
290,0.000661
292,0.002162
294,0.448026
298,0.050162
300,0.010177
301,0.011324
302,0.010648
305,0.045838
308,0.076292
311,0.008715
313,0.042415
314,0.006943
317,0.005946
319,0.047686
321,0.01694
325,0.004383
326,0.032181
329,0.029881
331,0.03136
332,0.641189
336,0.005246
337,0.004817
338,0.011719
340,0.963597
342,0.016723
344,0.043212
348,0.030542
349,0.012535
350,0.022137
353,0.034189
354,0.020524
358,0.068763
360,0.006733
361,0.015156
363,0.129431
365,0.019728
366,0.022527
368,0.019234
369,0.009609
370,0.004528
372,0.014396
373,0.141104
375,0.017931
376,0.368777
378,0.517221
381,0.357516
385,0.167947
388,0.068599
390,0.034113
391,0.025639
394,0.11088
396,0.019672
399,0.033985
401,0.02554
402,0.093184
403,0.005346
407,0.036343
410,0.033553
411,0.044818
413,0.006027
415,0.011119
416,0.014001
418,0.040443
421,0.044486
423,0.043128
426,0.03908
427,0.002625
431,0.121207
434,0.031321
437,0.035839
439,0.003542
441,0.01587
442,0.013395
444,0.012602
446,0.097557
450,0.01845
451,0.027815
453,0.049752
455,0.003151
457,0.035271
458,0.006603
460,0.033184
463,0.121656
467,0.014185
468,0.050909
470,0.012053
471,0.032024
472,0.020221
475,0.005383
476,0.029233
478,0.028898
479,0.006462
482,0.003076
483,0.026636
485,0.023677
487,0.034054
490,0.046874
494,0.016486
495,0.04239
498,0.017585
499,0.009457
501,0.021041
502,0.019124
504,0.108708
506,0.000581
507,0.001755
508,0.000114
509,0.028814
513,0.056417
516,0.002128
517,0.033475
519,0.017324
520,0.029927
523,0.0074
525,0.013336
527,0.046752
528,0.000399
530,0.035442
533,0.051412
536,0.023078
538,0.028117
539,0.00506
541,0.055282
544,0.025937
545,0.001204
548,0.005439
549,0.036656
550,0.000288
552,0.005428
554,0.027748
556,0.020208
558,0.023665
560,0.001286
561,0.005518
562,0.036684
564,0.142422
566,0.006861
568,0.00109
569,0.010756
571,0.020206
572,0.002181
573,0.01137
575,0.017926
576,0.013463
578,0.019027
579,0.009178
582,0.042837
584,0.029421
586,0.014915
590,0.024927
593,0.009421
594,0.119066
598,0.03742
600,0.034145
602,0.005395
605,0.032539
608,0.043233
609,0.005033
611,0.002527
612,0.031509
614,0.058168
617,0.014688
618,0.511233
620,0.023865
623,0.010861
624,0.001818
625,0.001485
626,0.046817
630,0.001813
631,0.000427
632,0.014171
633,0.002849
634,0.03558
638,0.00041
639,0.009065
642,0.039113
644,0.002589
645,0.014687
647,0.034898
648,0.002998
650,0.003956
652,0.000277
653,0.001198
654,0.03969
656,0.043142
658,0.005361
660,0.014623
661,0.016473
663,0.000159
664,0.0367
666,0.06121
669,0.012324
671,0.00061
673,0.021623
677,0.004473
678,0.03918
680,0.000535
681,0.052753
684,0.038537
686,0.025318
687,0.009127
688,0.013599
690,0.001139
692,0.007521
693,0.036562
695,0.038233
697,0.011188
700,0.020859
702,0.017304
703,0.013549
707,0.042856
710,0.004633
711,0.014899
712,0.020675
713,0.083937
716,0.016812
718,0.004736
719,0.026033
721,0.007015
725,0.060438
727,0.350288
729,0.050514
732,0.002634
735,0.183003
737,0.015083
740,0.003177
741,0.049179
743,0.030945
745,0.010336
746,0.004705
747,0.5551
750,0.026666
753,0.100368
756,0.025299
757,0.015012
761,0.027719
763,0.001994
764,0.003937
765,0.039242
767,0.040603
769,0.026719
771,0.05636
773,0.021612
775,0.010395
776,0.004144
777,0.013367
779,0.083508
781,0.006811
785,0.018862
786,0.005813
787,0.005727
791,0.041869
793,0.025043
794,0.037607
797,0.002032
799,0.00871
801,0.038013
803,0.021139
807,0.012918
808,0.034848
811,0.687828
815,0.016793
818,0.01084
820,0.006415
821,0.012889
823,0.029766
824,0.005111
826,0.061452
827,0.032565
829,0.040115
831,0.016897
832,0.00607
833,0.003381
834,0.022453
835,0.37269
838,0.008886
839,0.090599
841,0.016559
842,0.013633
844,0.020533
847,0.022327
848,0.000718
849,0.00441
852,0.050928
854,0.037616
856,0.00662
858,0.014229
860,0.003682
861,0.004712
862,0.004598
866,0.009412
867,0.044036
870,0.037314
873,0.012252
874,0.018234
875,0.018176
878,0.058612
881,0.193359
883,0.065019
886,0.007223
887,0.007029
889,0.023648
891,0.034645
893,0.014552
894,0.003725
895,0.002326
896,0.000757
898,0.003201
901,0.058481
903,0.018195
906,0.008248
907,0.042456
909,0.022779
911,0.151869
913,0.022478
916,0.023147
918,0.037963
919,0.027461
922,0.054329
924,0.010587
929,0.032662
931,0.012107
932,0.015632
933,0.002667
935,0.048742
937,0.007208
938,0.017788
939,0.059408
941,0.054263
945,0.014472
946,0.001253
948,0.007304
949,0.011335
951,0.011564
952,0.019789
953,0.017832
955,0.001736
956,0.028161
957,0.002775
958,0.178067
962,0.05867
966,0.030832
967,0.026577
970,0.008004
973,0.011165
974,0.007185
975,0.16421
980,0.008709
982,0.069806
984,0.044134
987,0.011356
989,0.067303
990,0.000434
992,0.008785
993,0.003789
995,0.029946
996,0.013668
998,0.389156
1000,0.013461
1003,0.013872
1005,0.030074
1007,0.000528
1010,0.03459
1013,0.001595
1015,0.454353
1017,0.029666
1018,0.009889
1019,0.00163
1021,0.048828
1025,0.011714
1027,0.033689
1029,0.000488
1030,0.020827
1032,0.018711
1034,0.005736
1036,0.011215
1037,0.005668
1038,0.186261
1041,0.009173
1043,0.037733
1045,0.020934
1048,0.034195
1049,0.010939
1053,0.022322
1055,0.021614
1057,0.040552
1060,0.045534
1063,0.017181
1066,0.012597
1067,0.035003
1071,0.003995
1073,0.052157
1076,0.021913
1077,0.126236
1079,0.032513
1084,0.019959
1085,0.024642
1086,0.086631
1087,0.295389
1090,0.026012
1093,0.007295
1094,0.024209
1095,0.004346
1098,7.1e-05
1099,0.025445
1101,0.001368
1102,0.039962
1103,0.013645
1105,0.087777
1109,0.000383
1110,0.008285
1112,0.006371
1113,0.046878
1116,0.021459
1117,0.037181
1119,0.024752
1121,0.014828
1123,0.024289
1125,0.009864
1127,0.018462
1128,0.004841
1129,0.012503
1134,0.012219
1136,0.050472
1138,0.062237
1140,0.002864
1141,0.003953
1143,0.020624
1144,0.021191
1147,0.019778
1150,0.0457
1151,0.584537
1154,0.013429
1155,0.063809
1157,0.017664
1159,0.042529
1161,0.001095
1164,0.028822
1165,0.01683
1168,0.007954
1169,0.039686
1171,0.001186
1172,0.025938
1174,0.001632
1176,0.012965
1179,0.001009
1180,0.022786
1182,0.030868
1183,0.12419
1187,0.036246
1190,0.002113
1191,0.004846
1193,0.048937
1195,0.018706
1197,0.027429
1199,0.023575
1201,0.010278
1202,0.029092
1205,0.117105
1207,0.041687
1209,0.019728
1211,0.001343
1212,0.026816
1213,0.015085
1216,0.019127
1218,0.027736
1220,0.002575
1222,0.034175
1224,0.018257
1225,0.014273
1227,0.042594
1229,0.019468
1231,0.013557
1233,0.045656
1234,0.053465
1237,0.011875
1239,0.022255
1240,0.043932
1244,0.039977
1247,0.012563
1249,0.070652
1252,0.028266
1253,0.006183
1254,0.000132
1256,0.01211
1257,0.000701
1258,0.000634
1262,0.011336
1263,0.019091
1264,0.120571
1266,0.005106
1268,0.020172
1270,0.030318
1272,0.027657
1275,0.005796
1276,0.001843
1278,0.018632
1280,0.009391
1281,0.419071
1285,0.017036
1287,0.012628
1288,0.451836
1291,0.024582
1295,0.03166
1298,0.009022
1299,0.004698
1300,0.013602
1301,0.029239
1304,0.006767
1306,0.038316
1309,0.021357
1313,0.044703
1316,0.048948
1320,0.073472
1322,0.472131
1324,0.001441
1325,0.013319
1327,0.031386
1329,0.010846
1330,0.022272
1334,0.038314
1336,0.028063
1338,0.004979
1340,0.028093
1342,0.015733
1343,0.031049
1346,0.013386
1347,0.346276
1349,0.039707
1351,0.173066
1354,0.008893
1355,0.005695
1357,0.033516
1359,0.022167
1360,0.022336
1361,0.25425
1367,0.02863
1368,0.042266
1370,0.00296
1371,0.001672
1373,0.007149
1374,0.006399
1375,0.014456
1376,0.001806
1379,0.021124
1380,0.072996
1383,0.003352
1384,0.046998
1387,0.000241
1388,0.011719
1389,0.016777
1391,0.033293
1393,0.012626
1394,0.005679
1395,0.042501
1397,0.032462
1398,0.009376
1400,0.012697
1401,0.069683
1403,0.084624
1406,0.022229
1408,0.022361
1410,0.017489
1411,0.007214
1412,0.000351
1413,0.000446
1415,0.024947
1417,0.010401
1418,0.000897
1420,0.019488
1421,0.014457
1423,0.003024
1424,0.009569
1426,0.01973
1427,0.006956
1431,0.009526
1433,0.036776
1435,0.034524
1438,0.025201
1440,0.01645
1441,0.013337
1443,0.002367
1445,0.007689
1448,0.020732
1451,0.000361
1453,0.032783
1455,0.035188
1457,0.018774
1458,0.015288
1460,0.019921
1461,0.02271
1463,0.02361
1465,0.006624
1467,0.041517
1469,0.021948
1471,0.006061
1472,0.030883
1474,0.006016
1476,0.02501
1479,0.003389
1481,0.344795
1484,0.000741
1486,0.017274
1489,0.114876
1492,0.02093
1494,0.004272
1496,0.003133
1497,0.032185
1499,0.019717
1501,0.037297
1502,0.391503
1505,0.06384
1507,0.020187
1508,0.000985
1510,0.003101
1511,0.021138
1513,0.009738
1515,0.056483
1520,0.041331
1523,0.015341
1524,0.000129
1525,0.007714
1527,0.012247
1528,0.138156
1530,0.006258
1531,0.010468
1533,0.02459
1535,0.019839
1537,0.004999
1538,0.007343
1539,0.014507
1542,0.01923
1543,0.004865
1545,0.042591
1547,0.003777
1549,0.021796
1551,0.012218
1553,0.036215
1554,0.029594
1557,0.064458
1561,0.01506
1565,0.031741
1566,0.0203
1567,0.109545
1569,0.38376
1571,0.109627
1573,0.049152
1575,0.010166
1576,0.002901
1577,0.125707
1579,0.504792
1582,0.020538
1583,0.003569
1586,0.009101
1587,0.009847
1588,0.069104
1590,0.038561
1592,0.030455
1594,0.042703
1597,0.033385
1601,0.005166
1602,0.011078
1604,0.041627
1605,0.147767
1607,0.005625
1608,0.007685
1611,0.004002
1612,0.089213
1615,0.032895
1617,0.004073
1618,0.036226
1621,0.038547
1622,0.00024
1625,0.027688
1627,0.011107
1629,0.023384
1632,0.00653
1634,0.084997
1636,0.032528
1638,0.036556
1640,0.007923
1642,0.006179
1644,0.030715
1647,0.039332
1650,0.010352
1651,0.01633
1654,0.010841
1655,0.030128
1657,0.014077
1658,0.017913
1660,0.009663
1661,0.0042
1663,0.033804
1664,0.000438
1666,0.010311
1668,0.004414
1669,0.004186
1671,0.015272
1673,0.040709
1675,0.000698
1676,0.025473
1678,0.001253
1679,0.017652
1682,0.03782
1684,0.011287
1686,0.140257
1689,0.027147
1691,0.636189
1695,0.01676
1697,0.000325
1699,0.019655
1700,0.025292
1703,0.00866
1704,0.078633
1706,0.000938
1708,0.022859
1709,0.005737
1712,0.012386
1714,0.026917
1717,0.009357
1719,0.11592
1721,0.076104
1725,0.043805
1727,0.018486
1730,0.000618
1731,0.011729
1732,0.029184
1735,0.006453
1736,0.024395
1738,0.004723
1742,0.004914
1744,0.029919
1746,0.025359
1749,0.004095
1750,0.023143
1753,0.035237
1755,0.030193
1757,0.005919
1758,0.004996
1760,0.008779
1761,0.335435
1763,0.010427
1764,0.007927
1765,0.064524
1767,0.726548
1769,0.00888
1770,0.083046
1772,0.000543
1773,0.105188
1775,0.006942
1778,0.008281
1779,0.084583
1782,0.022073
1784,0.014929
1785,0.01526
1787,0.076233
1789,0.087798
1791,0.018328
1792,0.002159
1795,0.032819
1796,0.019985
1799,0.014779
1800,0.003876
1801,0.000962
1802,0.002864
1803,0.024778
1805,0.015636
1807,0.013835
1808,0.007502
1810,0.000864
1811,0.018251
1813,0.008822
1814,4e-05
1815,0.020441
1817,0.103815
1819,0.010516
1820,0.030557
1821,0.018341
1824,0.011534
1826,0.014157
1827,0.062621
1829,0.00296
1831,0.010248
1835,0.025894
1838,0.026224
1840,0.033723
1843,0.015431
1844,0.987789
1845,0.028296
1847,0.010609
1849,0.023753
1850,0.002467
1854,0.001297
1857,0.010101
1859,0.024481
1862,0.023674
1863,0.004247
1865,0.015615
1867,0.010488
1869,0.012119
1871,0.006251
1872,0.006849
1875,0.038735
1877,0.003571
1878,0.115551
1881,0.022216
1883,0.015148
1885,0.009215
1887,0.065338
1889,0.008845
1891,0.009049
1893,0.001289
1894,0.15537
1897,0.00571
1898,0.00987
1900,0.005998
1904,0.027145
1908,0.03558
1910,0.009059
1911,0.011952
1917,0.037248
1919,0.012501
1920,0.00831
1925,0.106165
1929,0.004621
1930,0.014226
1933,0.33849
1934,0.002345
1937,0.00822
1938,0.250638
1940,0.011345
1942,0.031192
1944,0.009781
1946,0.027276
1949,0.008759
1951,0.031851
1955,0.00698
1957,0.004907
1958,0.004053
1961,0.01282
1963,0.002457
1964,0.004351
1966,0.006051
1967,0.006484
1971,0.01705
1973,0.007229
1975,0.024402
1979,0.008845
1981,0.005781
1983,0.00364
1985,0.008814
1986,0.157843
1988,0.009132
1989,0.015081
1992,0.000453
1995,0.014797
1997,0.011215
1999,0.052649
2001,0.066776
2003,0.013008
2005,0.007117
2007,0.001532
2008,0.00169
2010,0.014442
2011,0.004356
2014,0.023601
2018,0.017397
2020,0.00246
2021,0.024113
2023,0.009303
2025,0.003145
2026,0.009699
2030,0.017419
2033,0.030682
2035,0.004437
2037,0.004245
2038,0.063555
2040,0.009673
2045,0.022929
2047,0.011194
2052,0.010832
2053,0.013746
2055,0.011878
2060,0.014429
2064,0.011409
2065,0.004263
2066,0.001037
2067,0.012241
2070,0.053655
2072,0.598007
2074,0.026327
2078,0.000867
2079,0.11158
2082,0.009409
2084,0.005275
2087,0.030656
2089,0.030431
2091,0.008636
2094,0.607161
2097,0.009502
2098,0.029258
2100,0.022961
2102,0.026034
2105,0.003489
2107,0.013418
2108,0.00375
2110,0.023048
2114,0.004793
2115,0.017381
2117,0.010344
2118,0.005063
2119,0.005442
2121,0.00431
2125,0.010831
2128,0.006992
2131,0.051202
2134,0.014688
2137,0.038887
2139,0.001473
2141,6.3e-05
2142,0.012077
2144,0.001342
2145,0.022008
2148,0.00424
2149,0.020339
2152,0.009963
2154,0.031122
2156,0.0203
2158,0.006354
2160,0.004577
2161,0.011188
2164,0.008499
2166,0.008632
2167,0.017308
2169,0.038538
2170,0.186107
2173,0.265503
2176,0.010872
2179,0.01056
2181,0.015144
2183,0.017245
2185,0.006648
2187,0.012146
2189,0.266254
2192,0.019333
2194,0.109761
2196,0.025978
2199,0.004521
