sequence_number,time_taken_to_correct_ms
10,0.044032
46,0.691456
75,0.15232
152,0.01536
159,0.332544
202,0.253184
294,0.370432
332,0.536576
340,0.626432
376,0.134912
378,0.024832
431,0.01536
446,0.002048
463,0.010752
504,0.00896
564,0.0448
594,0.044032
618,0.397056
713,0.003072
727,0.255744
747,0.377088
811,0.601344
835,0.208896
881,0.086016
911,0.047616
958,0.092928
975,0.06656
998,0.27136
1015,0.333056
1038,0.07808
1077,0.038144
1087,0.140544
1151,0.48256
1183,0.027648
1205,0.015616
1264,0.05632
1281,0.339456
1288,0.193536
1322,0.33408
1347,0.222208
1361,0.023296
1481,0.275712
1502,0.24704
1528,0.034816
1567,0.014336
1569,0.224512
1579,0.131072
1634,0.00384
1686,0.063232
1691,0.488192
1719,0.011776
1761,0.26368
1767,0.444928
1817,0.022016
1844,0.898816
1878,0.011776
1894,0.054784
1925,0.051456
1933,0.25472
1986,0.113408
2038,0.008192
2070,0.013824
2072,0.520704
2094,0.47104
2170,0.113408
2173,0.068864
2189,0.137216
2231,0.138752
2260,0.012032
2283,0.45312
2315,0.083456
2336,0.015616
2341,0.106496
2362,0.338688
2422,0.054528
2431,0.010496
2450,0.010752
2477,1.991424
2497,0.59392
2537,0.022528
2570,0.575488
2655,0.011776
2667,0.536064
2713,0.003584
2733,0.010496
2770,0.381184
2790,0.473856
2833,1.130496
2854,0.179712
2926,0.007424
2959,0.012288
2961,0.297472
2982,0.096
3034,0.003584
3053,0.045568
3055,0.209664
3157,0.028672
3167,0.283904
3195,0.004096
3211,0.2112
3213,0.408064
3267,0.000512
3295,0.016384
3318,0.931072
3365,0.26752
3369,0.017664
3405,0.221184
3448,0.010496
3497,0.089088
3515,0.097024
3544,0.18304
3582,0.164096
3605,0.38144
3631,0.144384
3643,0.6784
3714,0.054784
3736,0.586496
3827,2.754048
3872,0.20992
3939,0.41728
3973,0.237056
4005,0.029696
4026,0.004096
4058,0.00384
4148,1.011712
4180,0.104704
4192,0.985344
4271,1.117184
4376,0.674816
4432,0.057344
4451,0.0576
4484,0.012032
4487,0.9728
4512,0.680704
4537,0.203776
4555,0.178432
4562,0.286464
4601,0.008192
4619,0.00896
4642,0.006144
4646,0.13952
4656,1.307392
4707,0.1664
4727,0.566016
4764,1.5552
4826,0.27904
4851,0.032
4864,0.590336
4923,0.011008
4973,0.077568
4995,0.172032
5034,0.139776
5047,0.00128
5091,1.590784
5118,0.073728
5152,0.224768
5166,0.005632
5168,0.09088
5224,0.105472
5291,0.04608
5302,0.048384
5310,0.013824
5326,0.450816
5367,0.105216
5388,0.179712
5533,0.167424
5558,0.631808
5614,0.049408
5623,0.069888
5648,0.003584
5678,0.009216
5686,0.084224
5729,0.016384
5755,0.976128
5801,0.242176
5871,0.126208
5905,0.050176
5934,0.329472
6013,0.169216
6050,0.002304
6058,0.050688
6141,0.306944
6195,0.015104
6227,0.0128
6232,0.214784
6277,0.066816
6337,0.197632
6369,0.047104
6373,0.634112
6438,0.52736
6458,0.081664
6485,1.084928
6560,0.139008
6598,0.192768
6600,1.788416
6791,0.084736
6854,0.026624
6863,0.070656
6895,0.641536
6919,0.146688
6975,7.87968
7054,0.14592
7114,0.04864
7133,0.044288
7184,0.037888
7203,0.011264
7231,0.006144
7235,0.061184
7267,0.024064
7293,0.001024
7308,0.00512
7312,0.475904
