sequence_number,time_taken_to_correct_ms
10,0.044032
46,0.647424
75,0.047872
159,0.233728
202,0.141056
294,0.255232
332,0.407552
340,0.469504
618,0.208896
727,0.065536
747,0.199168
811,0.421376
835,0.004864
998,0.087296
1015,0.158464
1151,0.30976
1281,0.152832
1288,0.01024
1322,0.168192
1347,0.056064
1481,0.120576
1502,0.095488
1569,0.078592
1691,0.348928
1761,0.103424
1767,0.290304
1844,0.730624
1933,0.030208
2072,0.315648
2094,0.254976
2283,0.233216
2362,0.117504
2477,1.78048
2497,0.226048
2570,0.221696
2667,0.195584
2770,0.055296
2790,0.174848
2833,0.844032
3213,0.065792
3318,0.616448
3605,0.036608
3643,0.364544
3736,0.26752
3827,2.440192
4148,0.48512
4192,0.462848
4271,0.600832
4376,0.150016
4487,0.485376
4512,0.193536
4656,0.849664
4727,0.06912
4764,1.101056
4864,0.071424
5091,1.116672
5558,0.09344
5755,0.482304
6373,0.141312
6438,0.069632
6485,0.666112
6600,1.344768
6895,0.107776
6975,7.388672
8835,0.095744
9769,0.151808
11288,1.352448
12017,0.897792
12115,0.94464
12702,0.70272
13436,0.256768
14014,1.2992
14173,0.002816
14571,2.065408
14986,0.576512
15136,0.571648
15172,0.6208
15229,0.75904
15241,1.09312
15733,0.697088
16070,0.201984
16282,0.321024
16351,3.00416
17030,0.33152
17692,0.043264
17776,0.470528
18423,0.226048
19287,0.220416
19337,0.26496
19441,0.24448
19745,0.238336
19927,1.243392
20353,2.172416
20374,2.4832
20380,0.054528
20381,4.740096
20389,7.185408
20475,1.010688
20956,1.254656
21648,0.103168
21651,3.018752
21652,6.467584
29772,7.269376
30970,0.638208
37020,0.84352
37925,0.641024
39970,0.411904
41662,3.946752
41665,13.20448
41666,4.19712
46436,0.043264
47343,0.647424
47345,4.629248
47346,14.593024
48230,2.34496
50015,15.51872
63374,1.653248
64620,0.41984
71767,1.719808
81075,4.199424
83411,2.610944
83418,8.31872
92269,0.098304
97219,1.846528
102291,11.422208
106570,2.966016
106577,1.320704
110770,3.96032
120057,0.793088
122261,1.254912
125785,5.121536
137583,2.240256
137584,1.894912
137585,2.276096
146783,1.40416
149831,11.789824
158263,5.505536
158265,0.717568
160286,0.262656
163301,19.15008
164132,1.030656
165764,2.202112
171242,1.131264
179778,0.186624
182471,0.045568
184791,0.51584
185694,3.830016
188171,3.888128
188659,0.982272
191450,0.131072
191683,0.298752
192286,0.718848
193372,0.471296
193711,0.021248
193840,0.16256
194173,4.677376
194771,3.936768
194855,4.67584
194858,3.427584
194859,7.594752
206164,2.709504
206168,4.097792
206169,4.726272
224771,0.03968
235722,0.388864
236886,9.393664
236933,0.124416
238061,0.272128
239774,4.29568
240967,2.157568
272688,0.018432
279691,0.82304
284512,2.74688
285451,0.115712
286574,2.030336
298568,0.76416
305770,6.349056
306375,0.648704
307953,1.220096
307961,6.40768
308217,3.105536
308231,0.855552
308310,1.686784
310084,1.116928
327996,0.640512
329775,4.505088
334569,0.875008
334597,0.630016
334601,17.759744
379568,4.65536
380318,14.44608
380774,0.640512
405370,2.843392
425775,2.389248
430572,2.866944
445679,5.872128
452399,0.865792
460576,2.787328
465714,1.045504
470011,0.051968
470769,3.579648
472602,8.765952
481203,0.423168
481204,10.470912
481207,12.560384
512034,995.008
