sequence_number,time_taken_to_correct_ms
10,0.093833
20,0.003736
21,0.030604
34,0.015389
46,0.728487
69,0.028314
75,0.244638
152,0.034326
154,0.004247
159,0.382153
184,0.008682
202,0.300796
236,0.0502
260,0.005072
273,0.000622
277,0.004194
284,0.012151
287,0.011711
294,0.410394
332,0.614309
340,0.797453
363,0.023191
373,0.100912
376,0.252297
378,0.275301
381,0.000652
431,0.069751
446,0.050197
463,0.067384
504,0.059556
513,0.005473
527,0.003744
533,0.003028
541,0.031474
556,0.00024
564,0.095062
594,0.081946
614,0.005944
618,0.454401
654,0.006922
656,0.023174
666,0.01129
678,0.007948
681,0.034833
707,0.007016
712,0.000963
713,0.062177
725,0.022038
727,0.324176
735,0.071131
747,0.467036
779,0.018228
791,0.003213
794,0.012007
811,0.645844
835,0.330962
867,0.008452
878,0.01586
881,0.141135
901,0.018545
911,0.100413
935,0.002918
939,0.032528
958,0.155539
975,0.115314
982,0.002222
998,0.331556
1015,0.394705
1038,0.132245
1073,0.016061
1077,0.10294
1086,0.054119
1087,0.249309
1105,0.011233
1136,0.018984
1138,0.016925
1150,0.003972
1151,0.557913
1183,0.09859
1205,0.067185
1234,0.023257
1240,0.014748
1249,0.022012
1263,0.003987
1264,0.103163
1281,0.399103
1288,0.324092
1320,0.02176
1322,0.403523
1347,0.284324
1351,0.004874
1361,0.196138
1380,0.043556
1401,0.041523
1403,0.048528
1433,0.008104
1453,0.008207
1455,0.001908
1461,0.000694
1467,0.001069
1481,0.310747
1489,0.021436
1502,0.354895
1528,0.0867
1554,0.004762
1557,0.041162
1567,0.084457
1569,0.342544
1579,0.320472
1605,0.109111
1612,0.010877
1634,0.045061
1673,0.009733
1676,0.008065
1679,0.000244
1682,0.005052
1686,0.102369
1691,0.563229
1719,0.06472
1732,0.000512
1753,0.002213
1761,0.299595
1767,0.588052
1817,0.064135
1827,0.035997
1844,0.943501
1875,0.014159
1878,0.064095
1887,0.008762
1894,0.106218
1917,0.007552
1925,0.080309
1933,0.298298
1938,0.119054
1986,0.136595
1999,0.013481
2001,0.01404
2033,0.007642
2038,0.037187
2070,0.034455
2072,0.560631
2094,0.540857
2131,0.027138
2137,0.007399
2154,0.003474
2169,0.010122
2170,0.166139
2173,0.168479
2189,0.204046
2210,0.00082
2231,0.170429
2248,0.033808
2260,0.061262
2283,0.483718
2315,0.126103
2336,0.056468
2341,0.177009
2362,0.397428
2396,0.009158
2422,0.077245
2431,0.048826
2443,0.012842
2450,0.063295
2454,0.023129
2469,0.006319
2477,2.028477
2497,0.754558
2532,0.000274
2537,0.071826
2570,0.602259
2588,0.071888
2605,0.002538
2626,0.031
2639,0.003132
2648,0.026311
2654,0.000498
2655,0.061842
2667,0.61372
2690,0.042955
2698,0.004174
2713,0.055851
2726,0.007332
2733,0.044175
2747,0.020724
2758,0.045567
2764,0.020646
2770,0.480389
2790,0.549415
2833,1.163169
2854,0.292954
2899,0.017771
2903,0.011527
2904,0.048654
2915,0.017754
2926,0.059012
2930,0.007745
2939,0.007341
2959,0.056455
2961,0.353147
2973,0.048518
2982,0.172558
2998,0.038919
3008,0.04344
3034,0.027664
3053,0.08295
3055,0.269186
3083,0.020038
3089,0.021237
3101,0.025532
3117,0.017304
3136,0.016301
3148,0.000369
3157,0.048497
3165,0.010829
3167,0.328389
3187,0.002065
3195,0.07255
3211,0.253711
3213,0.557761
3267,0.021447
3282,0.035069
3292,0.002099
3295,0.050846
3318,0.964387
3357,0.037932
3365,0.335572
3369,0.163235
3405,0.269767
3448,0.048103
3471,0.025319
3490,0.005592
3497,0.133334
3505,0.023672
3515,0.183871
3544,0.214622
3562,0.000461
3574,0.001772
3582,0.196171
3605,0.427105
3615,0.020538
3617,0.021721
3631,0.231204
3633,0.04604
3643,0.798764
3678,0.007759
3690,0.00423
3702,0.007313
3709,0.00314
3714,0.097768
3736,0.617527
3761,0.018075
3778,0.015294
3787,0.014907
3806,0.009338
3818,0.015177
3823,0.003859
3827,2.787261
3872,0.278111
3901,0.024263
3912,0.007326
3939,0.441891
3955,0.021647
3966,0.011197
3970,0.014664
3973,0.317837
4005,0.083221
4023,0.01007
4026,0.047813
4055,0.02845
4058,0.042259
4071,0.026101
4086,0.002305
4095,0.035888
4101,0.026833
4116,0.031012
4148,1.02886
4180,0.165328
4192,1.053547
4225,0.004981
4233,0.026097
4244,0.000209
4253,0.018773
4255,0.000524
4261,0.011664
4271,1.172014
4304,0.009678
4344,0.002263
4345,0.003958
4348,0.009122
4353,0.005266
4354,0.021118
4358,0.035932
4376,0.709309
4399,0.007172
4405,0.033739
4409,0.014736
4417,0.014969
4432,0.092767
4451,0.105908
4471,0.012646
4484,0.0447
4487,1.024878
4512,0.781923
4537,0.28317
4555,0.266752
4562,0.430641
4574,0.046267
4581,0.268628
4601,0.113234
4619,0.067989
4642,0.042103
4646,0.22024
4656,1.391144
4707,0.207381
4719,0.031495
4727,0.63181
4759,0.024873
4764,1.700303
4818,0.026338
4826,0.345627
4850,0.05603
4851,0.140509
4864,0.66005
4880,0.045977
4893,0.017938
4918,0.011778
4923,0.043142
4939,0.009144
4969,0.000387
4973,0.103235
4984,0.021578
4995,0.22831
5001,0.141463
5031,0.000491
5034,0.176095
5047,0.064564
5059,0.01096
5066,0.034032
5084,0.012847
5091,1.633215
5118,0.145524
5152,0.265916
5158,0.009008
5165,0.008591
5166,0.14148
5168,0.245845
5171,0.198807
5182,0.040362
5216,0.019072
5224,0.169582
5227,0.198971
5271,0.038831
5286,0.019185
5291,0.103441
5302,0.11141
5310,0.075184
5313,0.023009
5323,0.021592
5326,0.53138
5359,0.008933
5360,0.010093
5367,0.159119
5373,0.009762
5388,0.221327
5435,0.002893
5450,0.012363
5462,0.011336
5465,0.022994
5476,0.003572
5495,0.008366
5506,0.009215
5529,0.026837
5533,0.199919
5540,0.024457
5554,0.026014
5558,0.714719
5568,0.061774
5614,0.077858
5623,0.104575
5630,0.025605
5648,0.034027
5653,0.00121
5666,0.019609
5668,0.005268
5678,0.042689
5686,0.151739
5729,0.042405
5737,0.002063
5743,0.005224
5748,0.005395
5755,1.019295
5768,0.012588
5771,0.039448
5800,0.010726
5801,0.379701
5826,0.023667
5833,0.024475
5844,0.0403
5852,0.049679
5869,0.010212
5871,0.182167
5905,0.085176
5912,0.078003
5932,0.016468
5934,0.382639
5943,0.021596
5961,0.096654
5978,0.022061
5981,0.019808
6001,0.021572
6013,0.228791
6050,0.030155
6058,0.089558
6071,0.000806
6094,0.002089
6114,0.002363
6116,0.003324
6119,0.000716
6125,0.000219
6130,0.005449
6140,0.01731
6141,0.356554
6149,0.001233
6171,0.041337
6187,0.003684
6194,0.00152
6195,0.068881
6201,0.040593
6227,0.0495
6232,0.265906
6266,0.027926
6277,0.093988
6290,0.035983
6292,0.030533
6305,0.023794
6332,0.011706
6337,0.229905
6353,0.004763
6357,0.026603
6365,0.032229
6367,0.043304
6369,0.12997
6370,0.023693
6373,0.797704
6421,0.001489
6428,0.000913
6432,0.002709
6438,0.578876
6458,0.174951
6469,0.032446
6485,1.141703
6543,0.004818
6554,0.002071
6560,0.180304
6570,0.027373
6582,0.016232
6592,0.026725
6598,0.263512
6600,1.945073
6631,0.023959
6656,0.058655
6667,0.00547
6681,0.025119
6691,0.017042
6704,0.006397
6710,0.012149
6737,0.001895
6759,0.005377
6767,0.014093
6775,0.00263
6791,0.104806
6813,0.002877
6818,0.009332
6821,0.023361
6854,0.064067
6863,0.111096
6895,0.671347
6919,0.214895
6948,0.00814
6957,0.038116
6967,0.043157
6975,7.938628
7031,0.003164
7048,0.03701
7054,0.221415
7077,0.005099
7079,0.007861
7089,0.01767
7096,0.004802
7114,0.087287
7133,0.079061
7151,0.039973
7175,0.002491
7184,0.059881
7203,0.059851
7230,0.031771
7231,0.074745
7235,0.142683
7251,0.007942
7266,0.03452
7267,0.119921
7293,0.036174
7308,0.034425
7312,0.516036
7327,0.001351
7333,0.076635
7351,0.005831
7358,0.038653
7369,0.105814
7393,0.03992
7405,0.0184
7409,0.17081
7435,0.013245
7443,0.02364
7450,0.050111
7461,0.002951
7464,0.538467
7476,0.178819
7512,0.006751
7523,0.008972
7526,0.354089
7534,0.131399
7555,0.052827
7557,0.012284
7568,0.084546
7571,0.182025
7583,0.361646
7619,0.002109
7630,0.047894
7636,0.000777
7641,0.000212
7642,0.004949
7654,0.001843
7661,0.153769
7677,0.029638
7695,0.007032
7702,0.442551
7717,0.114086
7747,0.052902
7764,0.010498
7773,0.00308
7774,0.069581
7783,0.067232
7785,0.30532
7803,0.268191
7834,0.06141
7843,0.06527
