sequence_number,time_to_detect_ms
465383,100.377088
506353,100.119296
213263,100.142592
120345,100.28288
65807,100.50048
100381,100.063232
560656,100.062976
668878,109.364736
440712,100.049152
325837,100.068864
158940,100.226304
280292,100.083712
798225,100.086784
684805,100.087296
640180,100.068352
80078,100.070656
170530,100.11648
319189,100.061184
635086,100.059392
269362,100.069376
87366,100.205056
608238,100.068352
422904,100.221952
806483,100.233472
201142,100.064768
461976,100.112384
41967,100.049664
83360,100.080128
794387,100.197888
37014,100.11904
