sequence_number,time_to_detect_ms
465383,104.06784
506353,105.049856
213263,103.423488
120345,103.998976
65807,104.836096
100381,103.802112
560656,204.00128
668878,213.30304
440712,103.970048
325837,102.33472
158940,103.969792
280292,102.471424
798225,204.025088
684805,204.0256
640180,204.006656
80078,104.14464
170530,104.455936
319189,102.32704
635086,203.997696
269362,102.913536
87366,104.581888
608238,204.006656
422904,104.443392
806483,204.171776
201142,103.110144
461976,103.803136
41967,103.417088
83360,104.166656
794387,204.136192
37014,102.5984
