sequence_number,time_to_detect_ms
465383,100.184064
506353,100.032
213263,100.070144
120345,100.13952
65807,100.24576
100381,100.030464
560656,100.031232
668878,104.525312
440712,100.024064
325837,100.033792
158940,100.056832
280292,100.022528
798225,100.043776
684805,100.04352
640180,100.034048
80078,100.035072
170530,100.058112
319189,100.030464
635086,100.029952
269362,100.018944
87366,100.051968
608238,100.034048
422904,100.109056
806483,100.114944
201142,100.031744
461976,100.055552
41967,100.0128
83360,100.039936
794387,100.09728
37014,100.029952
