sequence_number,time_taken_to_correct_ms
3,0.17152
4,0.02048
5,0.036352
7,0.0064
10,0.13312
13,0.019968
14,0.004352
15,0.011776
16,0.01408
18,0.006656
20,0.026112
21,0.072192
24,0.013312
25,0.0
26,0.0128
29,0.019712
30,0.001792
31,0.003584
34,0.051968
36,0.03072
40,0.012288
44,0.013568
45,0.025856
46,0.763136
49,0.025344
50,0.114176
52,0.016896
54,0.004608
56,0.004096
57,0.007424
59,0.027392
61,0.005632
66,0.028928
68,0.001792
69,0.094464
71,0.075776
74,0.022784
75,0.33536
78,0.04864
80,0.029696
82,0.015104
83,0.008448
84,0.009984
87,0.021504
91,0.045824
94,0.04992
97,0.033024
98,0.015104
101,0.03456
104,0.043776
107,0.018176
110,0.0128
112,0.005632
114,0.019456
116,0.008448
117,0.030464
121,0.028416
123,0.026624
125,0.0064
127,0.013824
130,0.006656
131,0.016384
134,0.0064
135,0.01152
139,0.005888
142,0.008704
144,0.007168
146,0.011776
148,0.0
150,0.007168
152,0.051712
154,0.037632
155,0.002816
157,0.008192
158,0.005632
159,0.39936
163,0.010496
164,0.041472
166,0.007424
167,0.003072
168,0.03712
171,0.013568
172,0.000512
176,0.027136
178,0.00768
179,0.022272
181,0.026112
182,0.007168
184,0.059392
187,0.031744
189,0.031232
191,0.027904
192,0.007168
193,0.030464
195,0.008192
196,0.026624
197,0.004096
199,0.001024
200,0.014592
202,0.347392
205,0.040704
207,0.025344
210,0.005888
212,0.016384
213,0.012032
215,0.007936
216,0.006912
218,0.012288
219,0.02432
221,0.010752
223,0.00896
224,0.031744
227,0.035584
229,0.022016
231,0.02688
233,0.025344
235,0.012288
236,0.075008
239,0.017408
241,0.040704
243,0.033792
244,0.009728
246,0.00384
247,0.039936
249,0.0192
251,0.015104
252,0.033536
257,0.010496
258,0.00896
260,0.047104
262,0.021248
265,0.018176
267,0.004096
268,0.015104
270,0.01408
273,0.033792
275,0.01152
277,0.040192
279,0.022272
281,0.00896
284,0.049152
287,0.056064
290,0.000768
292,0.002048
294,0.448
298,0.050176
300,0.01024
301,0.011264
302,0.010752
305,0.045824
308,0.076288
311,0.008704
313,0.042496
314,0.006912
317,0.005888
319,0.047616
321,0.016896
325,0.004352
326,0.032256
329,0.029952
331,0.031488
332,0.64128
336,0.00512
337,0.004864
338,0.011776
340,0.963584
342,0.01664
344,0.043264
348,0.030464
349,0.012544
350,0.022016
353,0.034304
354,0.02048
358,0.068864
360,0.006656
361,0.015104
363,0.129536
365,0.019712
366,0.022528
368,0.0192
369,0.009728
370,0.004608
372,0.014336
373,0.141056
375,0.01792
376,0.368896
378,0.51712
381,0.357632
385,0.167936
388,0.068608
390,0.034048
391,0.0256
394,0.110848
396,0.019712
399,0.034048
401,0.0256
402,0.093184
403,0.005376
407,0.036352
410,0.033536
411,0.0448
413,0.006144
415,0.011008
416,0.01408
418,0.040448
421,0.044544
423,0.043008
426,0.039168
427,0.00256
431,0.121088
434,0.031232
437,0.03584
439,0.003584
441,0.015872
442,0.013312
444,0.012544
446,0.097536
450,0.018432
451,0.027904
453,0.049664
455,0.003072
457,0.035328
458,0.006656
460,0.03328
463,0.1216
467,0.01408
468,0.050944
470,0.012032
471,0.032
472,0.020224
475,0.005376
476,0.029184
478,0.028928
479,0.0064
482,0.003072
483,0.026624
485,0.023552
487,0.034048
490,0.046848
494,0.016384
495,0.042496
498,0.017664
499,0.009472
501,0.020992
502,0.0192
504,0.1088
506,0.000512
507,0.001792
508,0.0
509,0.028928
513,0.05632
516,0.002048
517,0.033536
