CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
18.179.37.35;47062;1760846424491005463;1760846424595015936;450000;10
18.179.37.35;47062;1760846424591008205;1760846424695041910;450001;10
18.179.37.35;47062;1760846424691002110;1760846424795005625;450002;10
18.179.37.35;47062;1760846424791007439;1760846424895041424;450003;10
18.179.37.35;47062;1760846424891007340;1760846424995030296;450004;10
18.179.37.35;47062;1760846424991004335;1760846425095039355;450005;10
18.179.37.35;47062;1760846425091008575;1760846425195030964;450006;10
18.179.37.35;47062;1760846425191006777;1760846425295034948;450007;10
18.179.37.35;47062;1760846425291005747;1760846425395023259;450008;10
18.179.37.35;47062;1760846425391004221;1760846425495023638;450009;10
18.179.37.35;47062;1760846425491013771;1760846425595022668;450010;10
18.179.37.35;47062;1760846425591010129;1760846425695012005;450011;10
18.179.37.35;47062;1760846425691009458;1760846425795044223;450012;10
18.179.37.35;47062;1760846425791003875;1760846425895019769;450013;10
18.179.37.35;47062;1760846425890999936;1760846425995021105;450014;10
18.179.37.35;47062;1760846425991001514;1760846426095022524;450015;10
18.179.37.35;47062;1760846426091000858;1760846426195014118;450016;10
18.179.37.35;47062;1760846426191009434;1760846426295062152;450017;10
18.179.37.35;47062;1760846426291001795;1760846426395141294;450018;10
18.179.37.35;47062;1760846426391011316;1760846426495144807;450019;10
18.179.37.35;47062;1760846426491004066;1760846426595026678;450020;10
18.179.37.35;47062;1760846426591007035;1760846426695037572;450021;10
18.179.37.35;47062;1760846426691102554;1760846426795131075;450022;10
18.179.37.35;47062;1760846426791002912;1760846426895045022;450023;10
18.179.37.35;47062;1760846426891004613;1760846426995031937;450024;10
18.179.37.35;47062;1760846426991011677;1760846427095046647;450025;10
18.179.37.35;47062;1760846427091006949;1760846427195015284;450026;10
18.179.37.35;47062;1760846427191009901;1760846427295031264;450027;10
18.179.37.35;47062;1760846427291007462;1760846427395215489;450028;10
18.179.37.35;47062;1760846427391010856;1760846427495021703;450029;10
18.179.37.35;47062;1760846427491010654;1760846427595028560;450030;10
18.179.37.35;47062;1760846427591003922;1760846427695024295;450031;10
18.179.37.35;47062;1760846427691006504;1760846427795028851;450032;10
18.179.37.35;47062;1760846427791018150;1760846427895058307;450033;10
18.179.37.35;47062;1760846427891008525;1760846427995025901;450034;10
18.179.37.35;47062;1760846427991005803;1760846428095024784;450035;10
18.179.37.35;47062;1760846428091008766;1760846428195015795;450036;10
18.179.37.35;47062;1760846428191003305;1760846428295022827;450037;10
18.179.37.35;47062;1760846428291003387;1760846428395023828;450038;10
18.179.37.35;47062;1760846428391005113;1760846428495020857;450039;10
18.179.37.35;47062;1760846428491008823;1760846428595040353;450040;10
18.179.37.35;47062;1760846428591005108;1760846428695011667;450041;10
18.179.37.35;47062;1760846428691005258;1760846428795015439;450042;10
18.179.37.35;47062;1760846428791017611;1760846428895037039;450043;10
18.179.37.35;47062;1760846428891002639;1760846428995022517;450044;10
18.179.37.35;47062;1760846428991000893;1760846429095032008;450045;10
18.179.37.35;47062;1760846429091009849;1760846429195028286;450046;10
18.179.37.35;47062;1760846429191000566;1760846429295015844;450047;10
18.179.37.35;47062;1760846429291007593;1760846429395012398;450048;10
18.179.37.35;47062;1760846429391008881;1760846429495024590;450049;10
18.179.37.35;47062;1760846429491017684;1760846429595039318;450050;10
18.179.37.35;47062;1760846429591012887;1760846429695037726;450051;10
18.179.37.35;47062;1760846429691006441;1760846429795024252;450052;10
18.179.37.35;47062;1760846429791016593;1760846429895031693;450053;10
18.179.37.35;47062;1760846429891011780;1760846429995041932;450054;10
18.179.37.35;47062;1760846429991003897;1760846430095010823;450055;10
18.179.37.35;47062;1760846430091006276;1760846430195021327;450056;10
18.179.37.35;47062;1760846430191011750;1760846430295019697;450057;10
18.179.37.35;47062;1760846430291012372;1760846430395057555;450058;10
18.179.37.35;47062;1760846430391008116;1760846430495022372;450059;10
18.179.37.35;47062;1760846430491057095;1760846430595066489;450060;10
18.179.37.35;47062;1760846430591000192;1760846430695012283;450061;10
18.179.37.35;47062;1760846430691006389;1760846430795033254;450062;10
18.179.37.35;47062;1760846430790999869;1760846430895017995;450063;10
18.179.37.35;47062;1760846430891002690;1760846430995022707;450064;10
18.179.37.35;47062;1760846430991012083;1760846431095037327;450065;10
18.179.37.35;47062;1760846431091008843;1760846431195056613;450066;10
18.179.37.35;47062;1760846431191001878;1760846431295026458;450067;10
18.179.37.35;47062;1760846431291005034;1760846431395020123;450068;10
18.179.37.35;47062;1760846431391010450;1760846431495019429;450069;10
18.179.37.35;47062;1760846431491005915;1760846431595029183;450070;10
18.179.37.35;47062;1760846431591019573;1760846431695029495;450071;10
18.179.37.35;47062;1760846431691011486;1760846431795052031;450072;10
18.179.37.35;47062;1760846431791005255;1760846431895030353;450073;10
18.179.37.35;47062;1760846431891006485;1760846431995038227;450074;10
18.179.37.35;47062;1760846431991005471;1760846432095034740;450075;10
18.179.37.35;47062;1760846432091017705;1760846432195059170;450076;10
18.179.37.35;47062;1760846432191002128;1760846432295012372;450077;10
18.179.37.35;47062;1760846432291003030;1760846432395009047;450078;10
18.179.37.35;47062;1760846432391010904;1760846432495044600;450079;10
18.179.37.35;47062;1760846432491004801;1760846432595018923;450080;10
18.179.37.35;47062;1760846432591010325;1760846432695027763;450081;10
18.179.37.35;47062;1760846432691004998;1760846432795026690;450082;10
18.179.37.35;47062;1760846432791003130;1760846432895025448;450083;10
18.179.37.35;47062;1760846432891012130;1760846432995018989;450084;10
18.179.37.35;47062;1760846432991008651;1760846433095026746;450085;10
18.179.37.35;47062;1760846433091004741;1760846433195029131;450086;10
18.179.37.35;47062;1760846433191006902;1760846433295019254;450087;10
18.179.37.35;47062;1760846433291011270;1760846433395064610;450088;10
18.179.37.35;47062;1760846433391004894;1760846433495030201;450089;10
18.179.37.35;47062;1760846433491001480;1760846433595022418;450090;10
18.179.37.35;47062;1760846433591012126;1760846433695030009;450091;10
18.179.37.35;47062;1760846433691006081;1760846433795039719;450092;10
18.179.37.35;47062;1760846433791008136;1760846433895007485;450093;10
18.179.37.35;47062;1760846433891001777;1760846433995050023;450094;10
18.179.37.35;47062;1760846433991002773;1760846434095029791;450095;10
18.179.37.35;47062;1760846434091006536;1760846434195037918;450096;10
18.179.37.35;47062;1760846434191016209;1760846434295063142;450097;10
18.179.37.35;47062;1760846434291009529;1760846434395047071;450098;10
18.179.37.35;47062;1760846434391005476;1760846434495021290;450099;10
18.179.37.35;47062;1760846434491025494;1760846434595042380;450100;10
18.179.37.35;47062;1760846434591010904;1760846434695028294;450101;10
18.179.37.35;47062;1760846434691006546;1760846434795033112;450102;10
18.179.37.35;47062;1760846434790998779;1760846434895020388;450103;10
18.179.37.35;47062;1760846434891016863;1760846434995037551;450104;10
18.179.37.35;47062;1760846434991002881;1760846435095050510;450105;10
18.179.37.35;47062;1760846435091015400;1760846435195044727;450106;10
18.179.37.35;47062;1760846435191009355;1760846435295012155;450107;10
18.179.37.35;47062;1760846435291001696;1760846435395008358;450108;10
18.179.37.35;47062;1760846435391006428;1760846435495019716;450109;10
18.179.37.35;47062;1760846435491003362;1760846435595017452;450110;10
18.179.37.35;47062;1760846435591013031;1760846435695031024;450111;10
18.179.37.35;47062;1760846435691007799;1760846435795027910;450112;10
18.179.37.35;47062;1760846435791006125;1760846435895009873;450113;10
18.179.37.35;47062;1760846435891007912;1760846435995042120;450114;10
18.179.37.35;47062;1760846435991005746;1760846436095016176;450115;10
18.179.37.35;47062;1760846436091008704;1760846436195027951;450116;10
18.179.37.35;47062;1760846436191002490;1760846436295072519;450117;10
18.179.37.35;47062;1760846436291007423;1760846436395024315;450118;10
18.179.37.35;47062;1760846436391016307;1760846436495040315;450119;10
18.179.37.35;47062;1760846436491019811;1760846436595049701;450120;10
18.179.37.35;47062;1760846436591011113;1760846436695028876;450121;10
18.179.37.35;47062;1760846436691003725;1760846436795013214;450122;10
18.179.37.35;47062;1760846436791012501;1760846436895052109;450123;10
18.179.37.35;47062;1760846436891021243;1760846436995040291;450124;10
18.179.37.35;47062;1760846436991006797;1760846437095016482;450125;10
18.179.37.35;47062;1760846437091016115;1760846437195077882;450126;10
