sequence_number,time_to_detect_ms
77156,100.09984
672128,100.088832
37333,100.094464
760369,100.109824
794121,100.05888
301780,100.059904
711180,100.11776
405024,100.082432
579879,100.086016
585955,100.059392
766566,100.100608
300496,100.111616
168353,100.05376
505187,100.051712
702153,100.085504
415870,100.100864
667480,100.076032
726343,100.1024
108721,100.096768
831562,100.054528
132756,100.06656
12510,100.083456
247601,100.081664
663846,100.067328
582093,100.052992
532707,100.073728
127524,100.069888
769075,100.07168
614656,100.066048
830184,100.436992
