sequence_number,time_to_detect_ms
77156,100.032
672128,100.042496
37333,100.025344
760369,100.054784
794121,100.028416
301780,100.01536
711180,100.05888
405024,100.04096
579879,100.04352
585955,100.03072
766566,100.030976
300496,100.029696
168353,100.026624
505187,100.0256
702153,100.041984
415870,100.049664
667480,100.038144
726343,100.050688
108721,100.026624
831562,100.027136
132756,100.032768
12510,100.020992
247601,100.040192
663846,100.034304
582093,100.026368
532707,100.036608
127524,100.01792
769075,100.036096
614656,100.03328
830184,100.21632
