sequence_number,time_taken_to_correct_ms
2,0.137356
4,0.061188
5,0.062582
6,0.005948
9,0.032057
10,0.077277
13,0.025197
15,0.0468
17,0.012914
18,0.003406
21,0.01158
23,0.008725
25,0.053021
27,0.015189
30,0.027349
32,0.012774
34,0.012652
36,0.014729
39,0.002394
42,0.007553
43,0.004891
45,0.022552
48,0.012183
50,0.017324
55,0.032175
57,0.032107
58,0.000733
59,0.034669
61,0.023162
63,0.006866
64,0.028413
66,0.004038
69,0.015156
70,0.007164
71,0.017926
73,0.021247
74,0.021741
77,0.033765
78,0.028141
80,0.014314
84,0.02431
85,0.149217
91,0.014647
94,0.005431
95,0.102916
97,0.010339
98,0.008794
101,0.033128
105,0.014526
107,0.045511
108,0.001488
110,0.000517
111,0.030238
112,0.018312
114,0.00404
116,0.000599
117,0.007023
118,0.031088
120,0.00896
121,0.014001
123,0.062029
127,0.013668
129,0.004164
131,0.007963
132,0.020664
134,0.015639
135,0.009393
137,0.028923
138,0.002706
139,0.0122
142,0.018119
143,0.013265
145,0.021356
147,0.099985
150,0.007211
153,0.013771
154,0.034458
159,0.0368
161,0.026729
163,0.003798
164,0.002325
165,0.001813
166,0.004749
168,0.013355
170,0.007404
172,0.010877
173,0.001812
176,0.025728
178,0.028006
179,0.001805
181,0.095633
184,0.001569
185,0.005015
186,0.004878
187,0.005936
190,0.011802
192,0.016861
194,0.029061
196,0.012094
197,0.017079
199,0.012737
201,0.00155
204,0.007095
205,0.001039
207,0.013048
210,0.005314
211,0.00458
212,0.019556
214,0.007264
217,0.014215
218,0.066738
222,0.010782
223,0.00836
226,0.001617
228,0.006874
229,0.000568
231,0.005484
233,0.02852
234,0.031157
236,0.081509
238,0.03157
241,0.018774
243,0.065071
246,0.018592
249,0.001494
251,0.018263
256,0.006654
258,0.001116
259,0.010072
262,0.010835
265,0.014423
266,0.030547
268,0.011771
270,0.012222
275,0.019582
279,0.021588
281,0.011607
283,0.007511
285,0.044601
288,0.007278
289,0.030877
292,0.015051
294,0.016116
295,0.0297
298,0.037798
300,0.003508
302,0.012889
305,0.026322
307,0.082779
309,0.009071
311,0.017268
312,0.009685
315,0.014501
317,0.011989
319,0.04804
323,0.051945
324,0.112704
327,0.016784
329,0.034745
332,0.00797
333,0.006323
335,0.000622
337,0.02674
338,0.017198
341,0.008586
342,0.001391
344,0.037295
347,0.009239
349,0.009709
350,0.025831
353,0.005335
355,0.071386
357,0.022899
358,0.07852
360,0.02071
363,0.030119
364,0.002114
366,0.016437
368,0.012711
370,0.011911
372,0.016632
373,0.138296
374,0.342577
376,0.004305
378,0.039003
380,0.093675
383,0.24338
386,0.009862
387,0.035476
389,0.028221
391,0.011338
393,0.002377
395,0.000558
396,0.002755
398,0.000365
399,0.021248
402,0.054282
404,0.017961
406,0.002781
407,0.062448
409,0.001383
412,0.024937
414,0.016636
416,0.009651
419,0.003697
420,0.012158
421,0.002023
423,0.001645
424,0.032751
427,0.075806
429,0.010069
430,0.004358
432,0.050431
436,0.013324
437,0.003751
438,0.01177
441,0.019076
442,0.011585
445,0.008926
446,0.104555
448,0.002621
450,0.081483
452,0.00222
453,0.009701
457,0.009835
460,0.009863
461,0.019002
463,0.013622
464,0.121492
467,0.024404
469,0.003789
471,0.017653
473,0.041444
476,0.034103
478,0.025184
480,0.024325
483,0.054231
484,0.002208
486,0.031874
488,0.020411
493,0.044023
496,0.024719
498,0.000549
499,0.002448
500,0.011761
502,0.00418
505,0.042216
507,0.039091
508,0.040246
511,0.071824
513,0.009867
515,0.0228
519,0.00947
523,0.009404
524,0.03543
525,0.014614
527,0.004108
528,0.013523
530,0.022747
533,0.009719
534,0.01494
535,0.01039
537,0.018083
539,0.002205
540,0.003818
542,0.011932
545,0.011644
547,0.005135
548,0.013899
550,0.034917
552,0.008071
555,0.02783
561,0.033018
564,0.005218
565,0.009344
566,0.008848
568,0.013287
571,0.032031
573,0.012044
575,0.011991
578,0.012202
582,0.028379
585,0.037798
586,0.00513
587,0.005037
589,0.020644
592,0.011256
594,0.015088
597,0.036248
598,0.0084
600,0.01989
601,0.030148
603,0.01598
605,0.000382
607,0.004686
609,0.037151
611,0.115388
614,0.032108
617,0.054359
621,0.019219
622,0.009506
