sequence_number,time_taken_to_correct_ms
2,0.137356
10,0.007133
85,0.068577
95,0.010756
147,0.028817
181,0.007313
218,0.016818
236,0.011621
307,0.007003
324,0.006976
355,0.010458
373,0.055864
374,0.201521
427,0.003102
446,0.037739
464,0.042644
611,0.040636
631,0.019733
777,0.053662
805,0.015106
846,0.169522
893,0.077648
968,0.80252
1030,0.115027
1038,0.083517
1082,0.042607
1144,0.060148
1167,0.019348
1188,0.119021
1218,0.049556
1262,0.054619
1281,0.295389
1362,0.111462
1401,0.116137
1481,0.00784
1515,0.014535
1555,0.000834
1567,0.065522
1612,0.024201
1644,0.041276
1689,0.002965
1692,0.005394
1707,0.012273
1739,0.043128
1793,0.018875
1810,0.026297
1904,0.098167
1978,0.038684
2034,0.022761
2155,0.023897
2191,0.004605
2194,0.014739
2260,0.013283
2315,0.135097
2422,0.036052
2435,0.165393
2450,0.040179
2492,0.003867
2514,0.014814
2568,0.65952
2605,0.006257
2655,0.037335
2672,0.035293
2734,0.012377
2749,0.005678
2764,0.030996
2771,0.000397
2848,0.02345
2889,0.08348
2903,0.063425
2994,0.04604
3034,0.018511
3121,0.084817
3248,0.002694
3275,0.013949
3295,0.066519
3358,0.004276
3363,0.092418
3452,0.13057
3476,0.330647
3544,0.043027
3590,0.018613
3605,0.389804
3665,0.00144
3714,0.041455
3826,0.032695
3873,0.008782
3889,0.012821
3931,0.031907
3955,0.093118
3966,0.005975
3973,0.258087
4060,0.000159
4071,0.010822
4094,0.048061
4136,0.075175
4162,0.060017
4206,0.029505
4227,0.013544
4277,0.059373
4310,0.044981
4345,0.003493
4354,0.006706
4373,0.005888
4379,0.045354
4451,0.011013
4493,0.199807
4531,0.134086
4556,0.012676
4567,0.107548
4569,0.288094
4629,0.071322
4756,1.354836
4758,2.726381
4764,1.154074
4838,0.04086
4842,0.2727
4847,0.008171
5094,0.003715
5118,0.127468
5155,0.046315
5169,0.33299
5235,0.11108
5269,0.102167
5348,0.012491
5387,0.070561
5475,0.089246
5506,0.030214
5650,0.05773
5686,0.064865
5771,0.234623
5805,0.00694
5811,0.009601
5861,0.066967
5896,0.005172
5906,0.047827
5916,0.074798
5960,0.003294
6005,0.003737
6030,0.216575
6094,0.004566
6108,0.050577
6120,2.282747
6295,0.024249
6308,0.004948
6354,0.007627
6367,0.160496
6373,0.761201
6428,0.109061
6471,0.031792
6506,0.003274
6582,0.017852
6588,0.084154
6610,0.015465
