sequence_number,time_taken_to_correct_ms
2,0.137356
374,0.064049
846,0.039474
968,0.681432
1281,0.118237
2568,0.488256
3476,0.127639
3605,0.194476
3973,0.062759
4493,0.017791
4569,0.122462
4756,1.193556
4758,2.461933
4764,0.669722
6120,1.779963
6373,0.130673
6801,0.05621
6975,7.162004
8408,0.352965
17692,0.233118
18860,1.369816
18971,0.16869
20375,0.032381
20406,0.984034
20417,0.992128
20447,3.363591
20457,3.098902
20492,0.490535
21657,2.205017
21658,8.276636
24035,11.687964
28253,0.750864
41667,4.978959
41668,0.200984
41855,0.027004
43559,0.224314
47349,0.894255
47352,12.346024
48230,3.116224
56775,10.077375
64620,1.52929
65863,2.580576
68021,4.117098
81072,3.546001
83411,4.692205
83412,3.515981
92252,0.18356
95771,0.387617
102284,1.338967
102288,1.256283
104886,0.312272
109832,0.155139
116773,1.975159
120053,1.014127
120055,3.443576
120057,2.587241
122829,4.079062
122830,0.25574
122833,2.825643
125785,6.388178
127442,3.908908
134769,0.653308
134774,0.99184
137597,2.533253
137604,0.818117
138553,5.043512
146767,7.072966
149831,11.737189
158263,5.648092
158265,0.688888
163301,18.831908
167055,7.053913
185694,1.374805
194173,1.28176
194771,1.275652
194854,1.900512
194857,8.261487
205583,0.046697
205959,3.978021
229000,8.996482
229001,5.979344
236476,1.828617
239010,4.876228
263167,4.877583
263768,0.714858
272776,1.130383
278772,5.407319
286574,0.591067
289151,1.572586
307946,4.074066
307948,3.433262
308022,0.468536
308032,0.470325
308202,4.208648
309033,5.715509
313566,3.892673
329775,3.290062
332770,1.819607
334569,0.004336
334596,4.911352
345370,3.626662
348970,3.331534
353775,2.040366
356177,0.309345
379568,5.727478
380318,15.232925
383040,6.535726
393955,2.713915
420372,2.470363
425775,2.701145
428769,8.781435
430572,1.469222
434781,0.952351
438199,0.583452
445681,0.700199
449779,0.596884
451570,0.582646
452409,0.858981
452477,1.027526
455027,10.865233
460576,2.999071
465714,1.403672
466578,1.072819
470769,4.239133
481971,5.422388
500774,3.282179
503422,1.027954
506755,4.575576
512033,896.771336
