sequence_number,time_taken_to_correct_ms
2,0.137356
5,0.028022
9,0.002105
10,0.052189
25,0.013853
55,0.010159
85,0.128993
95,0.057348
123,0.017485
147,0.081809
176,0.00064
181,0.054929
194,0.013189
212,0.009572
218,0.042162
233,0.005992
234,0.002229
236,0.046437
243,0.013871
266,0.006227
279,0.001364
285,0.017977
289,0.015517
295,0.01178
307,0.045915
319,0.009384
323,0.009193
324,0.0848
344,0.001967
355,0.041178
358,0.021688
373,0.11628
374,0.296753
383,0.094132
407,0.00792
424,0.002031
427,0.04099
432,0.004863
446,0.087915
450,0.016459
464,0.101524
483,0.000215
493,0.002039
505,0.011752
507,0.001715
508,0.015926
511,0.021136
524,0.00087
550,0.009317
561,0.010234
571,0.007199
582,0.006875
585,0.009894
597,0.006808
600,0.002738
601,0.011204
609,0.004127
611,0.078012
631,0.053013
649,0.00183
666,0.001234
674,0.026978
681,0.005323
693,0.001488
697,0.023029
707,0.028455
715,0.008373
729,0.004415
735,0.013559
751,0.011217
753,0.011743
765,0.008839
777,0.077982
805,0.042754
817,0.010879
818,0.031348
827,0.006245
832,0.008516
846,0.208946
870,0.025684
880,0.016958
893,0.116304
914,0.009835
927,0.006769
939,0.042114
955,0.005848
961,0.013965
967,0.016654
968,0.854232
1014,0.025022
1017,0.01754
1030,0.149331
1038,0.141885
1062,0.047239
1082,0.067183
1084,0.036458
1086,0.068243
1105,0.053192
1113,0.014494
1144,0.102388
1167,0.067988
1188,0.170221
1205,0.048584
1218,0.083348
1234,0.006773
1239,0.015636
1241,0.017713
1262,0.083547
1277,0.000585
1281,0.338909
1313,0.007588
1316,0.030063
1324,0.005255
1337,0.00222
1343,0.021288
1347,0.015261
1362,0.158822
1392,0.011127
1401,0.143273
1433,0.010242
1438,0.020634
1451,0.004918
1456,0.042646
1479,0.002465
1481,0.033184
1483,0.028698
1504,0.019799
1515,0.042439
1528,0.02164
1553,0.005265
1555,0.033602
1567,0.107506
1575,0.022761
1588,0.009255
1612,0.050057
1615,0.024049
1631,0.00064
1637,0.000322
1644,0.097852
1657,0.001663
1689,0.026517
1692,0.04661
1707,0.039153
1721,0.029963
1732,0.007936
1737,0.008662
1739,0.085624
1763,0.00036
1793,0.034235
1807,0.020707
1810,0.064441
1833,0.003847
1845,0.018487
1849,0.026585
1860,0.002172
1869,0.004689
1892,0.004088
1897,0.009711
1900,0.001481
1904,0.134775
1925,0.011536
1953,0.013025
1967,0.018382
1972,0.011121
1978,0.11446
1995,0.009798
2034,0.038121
2038,0.016637
2079,0.02316
2088,0.023798
2105,0.006771
2112,0.030068
2119,0.026949
2133,0.004797
2135,0.007724
2150,0.016887
2155,0.049241
2165,0.013296
2172,0.028173
2191,0.034045
2194,0.060819
2209,0.002454
2244,0.004471
2247,0.008185
2258,0.006621
2260,0.045539
2271,0.045754
2277,0.017371
2291,0.001097
2315,0.166329
2339,0.001979
2345,0.000364
2354,7e-05
2359,0.015176
2373,0.017623
2417,0.010934
2422,0.062932
2435,0.202769
2450,0.099827
2492,0.029723
2494,0.000304
2514,0.046814
2521,0.004438
2524,0.014172
2532,0.026059
2538,0.001356
2549,0.045246
2568,0.698944
2605,0.065905
2614,0.028013
2625,0.005593
2626,0.02919
2651,0.002566
2655,0.074455
2672,0.088029
2685,0.055608
2721,0.033167
2734,0.037977
2735,0.020501
2749,0.042798
2764,0.068372
2769,0.034484
2771,0.076685
2775,0.055167
2795,0.026103
2809,0.013797
2848,0.07337
2863,0.01541
2881,0.001899
2885,0.003547
2889,0.12828
2903,0.101313
2906,0.014082
2963,0.02086
2965,0.034054
2982,0.024892
2993,0.029258
2994,0.100824
3008,0.019883
3025,0.028108
3028,0.014929
3031,0.001268
3034,0.096079
3047,0.004296
3054,0.023861
3058,0.00141
3064,0.007135
3069,0.008185
3078,0.006331
3080,0.003845
3087,0.02229
3091,0.012892
3095,0.00521
3098,0.0324
3101,0.052928
3116,0.029408
3119,0.002044
3121,0.128593
3147,0.020455
3155,0.024445
3162,0.024157
3170,0.023867
3174,0.053668
3195,0.014428
3200,0.037873
3202,0.007272
3216,0.010423
3223,0.00027
3230,0.009681
3234,0.005043
3238,0.002272
3243,0.000513
3248,0.021126
3250,0.016348
3255,0.000462
3263,0.007375
3275,0.036221
3282,0.002272
3287,0.00084
3289,0.005947
3295,0.090071
3306,0.00415
3318,0.002426
3320,0.015546
3327,0.00523
3332,0.001005
3346,0.002303
3347,0.001143
3351,0.010376
3355,0.006646
3356,0.020793
3357,0.002588
3358,0.03474
3361,0.017643
3363,0.168962
3374,0.056643
3380,0.014611
3391,0.024587
3397,0.018464
3400,0.023844
3409,0.008267
3414,0.005769
3415,0.007433
3428,0.004899
3431,0.008824
3439,0.004762
3445,0.00652
3450,0.002844
3452,0.153866
3455,0.031591
3476,0.371351
3496,0.011083
3502,0.00097
3504,0.02844
3514,0.041298
3520,0.026742
3534,0.014517
3540,0.011519
3544,0.083219
3556,0.003349
3571,0.000784
3574,0.010899
3578,0.001799
3584,2.9e-05
3586,0.007654
3587,0.001438
3590,0.046005
3592,0.01392
3605,0.414636
3617,0.095176
3635,7e-05
3639,0.001213
3643,0.013231
3644,0.007532
3665,0.031136
3672,0.014939
3673,0.027519
3675,0.021551
3702,0.001442
3704,0.015103
3708,0.008036
3710,0.003377
3714,0.073967
3730,0.002418
3734,0.000919
3739,0.001673
3742,0.009414
3743,0.009189
3750,0.008113
3754,0.001959
3759,0.003586
3763,0.001089
3768,0.002383
3769,0.012173
3780,0.010568
3784,0.003437
3794,0.005007
3796,0.016526
3803,0.004537
3808,0.004615
3810,0.004874
3815,0.005729
3820,0.017034
3823,0.000489
3825,0.009057
3826,0.061623
3830,0.02487
3858,0.013837
3867,0.001983
3873,0.026446
3875,0.002165
3883,0.006541
3884,0.003513
3889,0.039445
3892,0.02854
3896,0.032502
3907,0.018177
3919,0.010492
3928,0.007888
3931,0.063907
3941,0.025969
3945,0.001677
3950,0.014574
3955,0.144062
3966,0.067671
3973,0.327463
3982,0.011532
4018,0.038522
4023,0.018107
4029,0.031393
4036,0.010713
4038,0.001336
4045,0.022599
4060,0.036255
4065,0.001007
4071,0.050758
4091,0.008019
4094,0.078269
4101,0.001753
4109,0.004357
4117,0.005812
4122,0.02324
4129,0.010658
4136,0.102055
4139,0.000234
4142,0.009629
4162,0.095089
4179,0.010666
4192,0.012106
4199,0.004164
4204,0.000266
4206,0.050497
4210,0.003004
4217,0.000443
4226,0.002586
4227,0.037864
4236,0.008296
4238,0.0271
4250,0.011046
4260,0.003162
4263,0.000637
4264,0.021818
4277,0.084205
4300,0.000412
4303,0.006729
4308,0.001813
4310,0.064181
4314,0.011088
4331,0.004554
4340,0.002479
4345,0.022693
4351,0.001413
4354,0.027954
4355,0.006191
4367,0.002943
4371,0.005423
4373,0.037632
4379,0.082474
4402,0.000153
4412,0.003666
4413,0.001912
4418,0.005225
4422,0.002591
4426,0.004814
4429,0.007917
4431,0.002162
4433,0.015852
4436,0.02345
4451,0.033285
4467,0.004459
4470,0.004703
4471,0.016891
4477,0.008147
4482,0.006938
4491,0.013515
4493,0.239487
4522,0.003484
4527,0.011522
4531,0.16839
4548,0.001623
4550,0.012544
4552,0.026336
4556,0.071556
