sequence_number,time_to_detect_ms
77156,103.649024
672128,192.617472
37333,102.874624
760369,192.638464
794121,192.58752
301780,103.48416
711180,192.6464
405024,104.413952
579879,192.614656
585955,192.588032
766566,192.629248
300496,103.535872
168353,105.468416
505187,103.063552
702153,192.614144
415870,104.432384
667480,192.604672
726343,192.63104
108721,102.544128
831562,192.583168
132756,102.87616
12510,101.191168
247601,104.519424
663846,192.595968
582093,192.581632
532707,192.602368
127524,102.879488
769075,192.60032
614656,192.594688
830184,192.965632
