sequence_number,time_taken_to_correct_ms
2,0.137346
5,0.027904
9,0.002048
10,0.052224
25,0.013824
55,0.01024
85,0.129024
95,0.057344
123,0.017408
147,0.08192
176,0.000512
181,0.05504
194,0.013312
212,0.009472
218,0.04224
233,0.005888
234,0.002304
236,0.046336
243,0.013824
266,0.006144
279,0.00128
285,0.01792
289,0.015616
295,0.011776
307,0.045824
319,0.009472
323,0.009216
324,0.084736
344,0.002048
355,0.041216
358,0.02176
373,0.116224
374,0.296704
383,0.094208
407,0.007936
424,0.002048
427,0.04096
432,0.004864
446,0.087808
450,0.016384
464,0.101632
483,0.000256
493,0.002048
505,0.011776
507,0.001792
508,0.015872
511,0.021248
524,0.000768
550,0.009216
561,0.01024
571,0.007168
582,0.006912
585,0.009984
597,0.006912
600,0.002816
601,0.011264
609,0.004096
611,0.07808
631,0.052992
649,0.001792
666,0.00128
674,0.02688
681,0.005376
693,0.001536
697,0.02304
707,0.028416
715,0.008448
729,0.004352
735,0.013568
751,0.011264
753,0.011776
765,0.00896
777,0.07808
805,0.042752
817,0.010752
818,0.031232
827,0.006144
832,0.008448
846,0.208896
870,0.0256
880,0.016896
893,0.116224
914,0.009728
927,0.006656
939,0.04224
955,0.005888
961,0.01408
967,0.01664
968,0.854272
1014,0.025088
1017,0.017664
1030,0.149248
1038,0.141824
1062,0.04736
1082,0.067072
1084,0.036352
1086,0.068352
1105,0.053248
1113,0.014592
1144,0.1024
1167,0.068096
1188,0.17024
1205,0.04864
1218,0.083456
1234,0.006656
1239,0.015616
1241,0.017664
1262,0.083456
1277,0.000512
1281,0.338944
1313,0.00768
1316,0.029952
1324,0.005376
1337,0.002304
1343,0.021248
1347,0.01536
1362,0.15872
1392,0.011008
1401,0.14336
1433,0.01024
1438,0.020736
1451,0.004864
1456,0.042752
1479,0.00256
1481,0.03328
1483,0.028672
1504,0.019712
1515,0.042496
1528,0.02176
1553,0.005376
1555,0.033536
1567,0.10752
1575,0.022784
1588,0.009216
1612,0.050176
1615,0.024064
1631,0.000512
1637,0.000256
1644,0.097792
1657,0.001536
1689,0.026624
1692,0.046592
1707,0.039168
1721,0.029952
1732,0.007936
1737,0.008704
1739,0.085504
1763,0.000256
1793,0.034304
1807,0.020736
1810,0.064512
1833,0.00384
1845,0.018432
1849,0.026624
1860,0.002048
1869,0.004608
1892,0.004096
1897,0.009728
1900,0.001536
1904,0.134656
1925,0.01152
1953,0.013056
