CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
18.179.37.35;47062;1760811424491005188;1760811424560793061;100000;7
18.179.37.35;47062;1760811424591003962;1760811424660803968;100001;7
18.179.37.35;47062;1760811424691030569;1760811424760809665;100002;7
18.179.37.35;47062;1760811424791006635;1760811424860806966;100003;7
18.179.37.35;47062;1760811424891006870;1760811424960765655;100004;7
18.179.37.35;47062;1760811424991004863;1760811425060812332;100005;7
18.179.37.35;47062;1760811425091009749;1760811425160801036;100006;7
18.179.37.35;47062;1760811425191005207;1760811425260786843;100007;7
18.179.37.35;47062;1760811425291002145;1760811425360798206;100008;7
18.179.37.35;47062;1760811425391002773;1760811425460800411;100009;7
18.179.37.35;47062;1760811425491009516;1760811425560799445;100010;7
18.179.37.35;47062;1760811425591008213;1760811425660808751;100011;7
18.179.37.35;47062;1760811425690999345;1760811425760800432;100012;7
18.179.37.35;47062;1760811425791003730;1760811425860795851;100013;7
18.179.37.35;47062;1760811425891003869;1760811425960802308;100014;7
18.179.37.35;47062;1760811425991000442;1760811426060804680;100015;7
18.179.37.35;47062;1760811426091010728;1760811426160809619;100016;7
18.179.37.35;47062;1760811426191002628;1760811426260807976;100017;7
18.179.37.35;47062;1760811426291009464;1760811426360809955;100018;7
18.179.37.35;47062;1760811426391065723;1760811426460840685;100019;7
18.179.37.35;47062;1760811426491011925;1760811426560804949;100020;7
18.179.37.35;47062;1760811426591011957;1760811426660802088;100021;7
18.179.37.35;47062;1760811426691005050;1760811426760797468;100022;7
18.179.37.35;47062;1760811426791011907;1760811426860811861;100023;7
18.179.37.35;47062;1760811426891006104;1760811426960796053;100024;7
18.179.37.35;47062;1760811426991009101;1760811427060811742;100025;7
18.179.37.35;47062;1760811427091002958;1760811427160802210;100026;7
18.179.37.35;47062;1760811427191001893;1760811427260795730;100027;7
18.179.37.35;47062;1760811427291002383;1760811427360811762;100028;7
18.179.37.35;47062;1760811427391004021;1760811427460767453;100029;7
18.179.37.35;47062;1760811427491008813;1760811427560814116;100030;7
18.179.37.35;47062;1760811427591001042;1760811427660769012;100031;7
18.179.37.35;47062;1760811427691047928;1760811427760828027;100032;7
18.179.37.35;47062;1760811427791000780;1760811427860767982;100033;7
18.179.37.35;47062;1760811427891005148;1760811427960792857;100034;7
18.179.37.35;47062;1760811427991007765;1760811428060799993;100035;7
18.179.37.35;47062;1760811428091002999;1760811428160805693;100036;7
18.179.37.35;47062;1760811428191003742;1760811428260796167;100037;7
18.179.37.35;47062;1760811428291008145;1760811428360809432;100038;7
18.179.37.35;47062;1760811428391012506;1760811428460813096;100039;7
18.179.37.35;47062;1760811428491010261;1760811428560810606;100040;7
18.179.37.35;47062;1760811428591010877;1760811428660816365;100041;7
18.179.37.35;47062;1760811428691002295;1760811428760809880;100042;7
18.179.37.35;47062;1760811428791010017;1760811428860791748;100043;7
18.179.37.35;47062;1760811428890988149;1760811428960766234;100044;7
18.179.37.35;47062;1760811428991003121;1760811429060801620;100045;7
18.179.37.35;47062;1760811429091005045;1760811429160807539;100046;7
18.179.37.35;47062;1760811429191007499;1760811429260805442;100047;7
18.179.37.35;47062;1760811429291008400;1760811429360813926;100048;7
18.179.37.35;47062;1760811429391009424;1760811429460848510;100049;7
18.179.37.35;47062;1760811429491011139;1760811429560817183;100050;7
18.179.37.35;47062;1760811429591007691;1760811429660807451;100051;7
18.179.37.35;47062;1760811429691069199;1760811429760863476;100052;7
18.179.37.35;47062;1760811429791004396;1760811429860805832;100053;7
18.179.37.35;47062;1760811429891008455;1760811429960796894;100054;7
18.179.37.35;47062;1760811429991010385;1760811430060807023;100055;7
18.179.37.35;47062;1760811430091008561;1760811430160812723;100056;7
18.179.37.35;47062;1760811430191003544;1760811430260766393;100057;7
18.179.37.35;47062;1760811430291010711;1760811430360795842;100058;7
18.179.37.35;47062;1760811430391006244;1760811430460806148;100059;7
18.179.37.35;47062;1760811430491057179;1760811430560838242;100060;7
18.179.37.35;47062;1760811430591008914;1760811430660804593;100061;7
18.179.37.35;47062;1760811430691010415;1760811430760806537;100062;7
18.179.37.35;47062;1760811430791007856;1760811430860841389;100063;7
18.179.37.35;47062;1760811430891007934;1760811430960804295;100064;7
18.179.37.35;47062;1760811430991017383;1760811431060810609;100065;7
18.179.37.35;47062;1760811431091000671;1760811431160849817;100066;7
18.179.37.35;47062;1760811431191003913;1760811431260803073;100067;7
18.179.37.35;47062;1760811431291000139;1760811431360810063;100068;7
18.179.37.35;47062;1760811431391003993;1760811431460810973;100069;7
18.179.37.35;47062;1760811431491007944;1760811431560822500;100070;7
18.179.37.35;47062;1760811431591006482;1760811431660803224;100071;7
18.179.37.35;47062;1760811431691007048;1760811431760810654;100072;7
18.179.37.35;47062;1760811431791016045;1760811431860810199;100073;7
18.179.37.35;47062;1760811431891024754;1760811431960815528;100074;7
18.179.37.35;47062;1760811431991027785;1760811432060811346;100075;7
18.179.37.35;47062;1760811432091011677;1760811432160807648;100076;7
18.179.37.35;47062;1760811432191003078;1760811432260797951;100077;7
18.179.37.35;47062;1760811432291007166;1760811432360801481;100078;7
18.179.37.35;47062;1760811432391005894;1760811432460811235;100079;7
18.179.37.35;47062;1760811432491006722;1760811432560835778;100080;7
18.179.37.35;47062;1760811432591014085;1760811432660810884;100081;7
18.179.37.35;47062;1760811432691014733;1760811432760817525;100082;7
18.179.37.35;47062;1760811432791002186;1760811432860805444;100083;7
18.179.37.35;47062;1760811432891001508;1760811432960795342;100084;7
18.179.37.35;47062;1760811432991002422;1760811433060841069;100085;7
18.179.37.35;47062;1760811433091007965;1760811433160810961;100086;7
18.179.37.35;47062;1760811433191003901;1760811433260874703;100087;7
18.179.37.35;47062;1760811433291002593;1760811433360812136;100088;7
18.179.37.35;47062;1760811433391018703;1760811433460807189;100089;7
18.179.37.35;47062;1760811433491002038;1760811433560807685;100090;7
18.179.37.35;47062;1760811433591006775;1760811433660811708;100091;7
18.179.37.35;47062;1760811433690997098;1760811433760800201;100092;7
18.179.37.35;47062;1760811433791016604;1760811433860813834;100093;7
18.179.37.35;47062;1760811433891014411;1760811433960809480;100094;7
18.179.37.35;47062;1760811433991001894;1760811434060804929;100095;7
18.179.37.35;47062;1760811434090994780;1760811434160818777;100096;7
18.179.37.35;47062;1760811434191000759;1760811434260810043;100097;7
18.179.37.35;47062;1760811434291001548;1760811434360806634;100098;7
18.179.37.35;47062;1760811434391008932;1760811434460808392;100099;7
18.179.37.35;47062;1760811434491092799;1760811434560881977;100100;7
