CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
18.179.37.35;47062;1760821424491004391;1760821424562987886;200000;7
18.179.37.35;47062;1760821424591009736;1760821424662994568;200001;7
18.179.37.35;47062;1760821424691006558;1760821424763000777;200002;7
18.179.37.35;47062;1760821424791011845;1760821424863000240;200003;7
18.179.37.35;47062;1760821424891009552;1760821424962997932;200004;7
18.179.37.35;47062;1760821424991014836;1760821425063030942;200005;7
18.179.37.35;47062;1760821425091012665;1760821425163007503;200006;7
18.179.37.35;47062;1760821425190999193;1760821425262996143;200007;7
18.179.37.35;47062;1760821425291002556;1760821425362996262;200008;7
18.179.37.35;47062;1760821425391003065;1760821425462987751;200009;7
18.179.37.35;47062;1760821425491007303;1760821425562987786;200010;7
18.179.37.35;47062;1760821425591008609;1760821425663015084;200011;7
18.179.37.35;47062;1760821425691007873;1760821425763002333;200012;7
18.179.37.35;47062;1760821425791007113;1760821425863021984;200013;7
18.179.37.35;47062;1760821425891008494;1760821425962955364;200014;7
18.179.37.35;47062;1760821425991005058;1760821426062997600;200015;7
18.179.37.35;47062;1760821426091006928;1760821426163021893;200016;7
18.179.37.35;47062;1760821426191004239;1760821426263002524;200017;7
18.179.37.35;47062;1760821426291004678;1760821426363034072;200018;7
18.179.37.35;47062;1760821426391015703;1760821426463026546;200019;7
18.179.37.35;47062;1760821426491009414;1760821426563003685;200020;7
18.179.37.35;47062;1760821426591002660;1760821426662996042;200021;7
18.179.37.35;47062;1760821426691013840;1760821426763011580;200022;7
18.179.37.35;47062;1760821426791009800;1760821426863004780;200023;7
18.179.37.35;47062;1760821426891002669;1760821426962999028;200024;7
18.179.37.35;47062;1760821426991001977;1760821427062999023;200025;7
18.179.37.35;47062;1760821427091017634;1760821427163014565;200026;7
18.179.37.35;47062;1760821427191000258;1760821427263000637;200027;7
18.179.37.35;47062;1760821427291000304;1760821427362993683;200028;7
18.179.37.35;47062;1760821427391001988;1760821427463007830;200029;7
18.179.37.35;47062;1760821427490998991;1760821427563010741;200030;7
18.179.37.35;47062;1760821427591007428;1760821427662995611;200031;7
18.179.37.35;47062;1760821427690999376;1760821427763009708;200032;7
18.179.37.35;47062;1760821427791006606;1760821427863002957;200033;7
18.179.37.35;47062;1760821427891006592;1760821427962985799;200034;7
18.179.37.35;47062;1760821427991004110;1760821428063031019;200035;7
18.179.37.35;47062;1760821428091008413;1760821428162977857;200036;7
18.179.37.35;47062;1760821428191006909;1760821428263016650;200037;7
18.179.37.35;47062;1760821428291022448;1760821428363014995;200038;7
18.179.37.35;47062;1760821428391012919;1760821428462992581;200039;7
18.179.37.35;47062;1760821428491006463;1760821428563003041;200040;7
18.179.37.35;47062;1760821428591007735;1760821428662995087;200041;7
18.179.37.35;47062;1760821428691014781;1760821428763012700;200042;7
18.179.37.35;47062;1760821428791010541;1760821428863004848;200043;7
18.179.37.35;47062;1760821428891008717;1760821428963003024;200044;7
18.179.37.35;47062;1760821428991023540;1760821429063018701;200045;7
18.179.37.35;47062;1760821429091002454;1760821429163002741;200046;7
18.179.37.35;47062;1760821429191005393;1760821429262997842;200047;7
18.179.37.35;47062;1760821429291001996;1760821429363000188;200048;7
18.179.37.35;47062;1760821429391011081;1760821429463023739;200049;7
18.179.37.35;47062;1760821429491011720;1760821429562989808;200050;7
18.179.37.35;47062;1760821429591022850;1760821429663036252;200051;7
18.179.37.35;47062;1760821429691009031;1760821429762999077;200052;7
18.179.37.35;47062;1760821429790995591;1760821429862985209;200053;7
18.179.37.35;47062;1760821429891011855;1760821429962995484;200054;7
18.179.37.35;47062;1760821429991009821;1760821430063011400;200055;7
18.179.37.35;47062;1760821430091012295;1760821430162955487;200056;7
18.179.37.35;47062;1760821430191011523;1760821430262999671;200057;7
18.179.37.35;47062;1760821430291003152;1760821430362995261;200058;7
18.179.37.35;47062;1760821430390999863;1760821430462983261;200059;7
18.179.37.35;47062;1760821430491003060;1760821430562998664;200060;7
18.179.37.35;47062;1760821430591004287;1760821430662989717;200061;7
